#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:16 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03195500 ELK RIVER AT SUTTON, WV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03195500	1	1938-11-29 12:02:30	EST	Yes	Weggel	USGS	4.15	643				UNSP				MEAS	1	1	UNSP	QSCMM	VPAA	643	162	589	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	2	1939-02-20 12:02:30	EST	Yes	HAT	USGS	5.38	1450				UNSP				MEAS	1	1	UNSP	QSCMM	VPAA	1450	170	798	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	3	1939-03-22 12:02:30	EST	Yes	LBH/WK	USGS	4.26	635				EXCL				MEAS	1	1	UNSP	QSCMM	VPAA	635	156	542	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	4	1939-04-16 12:02:30	EST	Yes	LBH_	USGS	27.1	26600				UNSP				MEAS	1	1	UNSP	QSCMM	VPAA	26600	350	7040	3.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	5	1939-04-17 12:02:30	EST	Yes	HAT	USGS	12.1	8220				UNSP				MEAS	1	1	UNSP	QSCMM	VPAA	8220	274	2280	3.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	6	1939-04-18 12:02:30	EST	Yes	LBH	USGS	7.93	3980				EXCL				MEAS	1	1	UNSP	QSCMM	VPAA	3980	182	1240	3.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	7	1939-04-27 12:02:30	EST	Yes	LBH	USGS	4.66	917				EXCL				MEAS	1	1	UNSP	QSCMM	VPAA	917	162	654	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	8	1939-05-02 12:02:30	EST	Yes	LBH	USGS	4.57	839				EXCL				MEAS	1	1	UNSP	QSCMM	VPAA	839	162	638	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03195500	9	1939-05-09 12:02:30	EST	Yes	LBH	USGS	3.73	399				EXCL				MEAS	1	1	UNSP	QSCMM	VPAA	399	157	497	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
