#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03196800 ELK RIVER AT CLAY, WV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03196800	4	1939-04-17 11:20:00	EST	Yes	P/E	USGS	17.48	31700		0.00		UNSP	-1.03	1.60		MEAS	1	Unspecified	UNSP			31700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	5	1939-04-17 14:25:00	EST	Yes	P/E	USGS	15.31	24600		0.00		UNSP	-1.20	1.90		MEAS	1	Unspecified	CRAN	QUNSP		24600	286	5170	4.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	106	1967-03-15 12:45:00	EST	Yes	OBR	USGS	21.07	29500		0.00		GOOD	-1.19	1.40		MEAS	1	Unspecified	CRAN	QUNSP		29500	294	5790	5.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	214	1985-04-04 10:00:00	EST	Yes	WBJ	USGS	4.70	2840	16.0	0.00	-2.70	GOOD	-0.04	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2840	215	1790	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	215	1986-12-11 10:00:00	EST	Yes	WBJ	USGS	7.19	5630	15.0	0.00	-0.635	GOOD	-0.04	1.50		MEAS	1	Unspecified	CRAN	QUNSP		5630	217	2180	2.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	216	1987-01-27 10:30:00	EST	Yes	WBJ	USGS	3.15	1310	15.0		-2.20	GOOD	-0.10	1.25	SICE	MEAS	1	Unspecified	CRAN	QUNSP		1310	215	1580	0.830	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	217	1987-04-08 10:30:00	EDT	Yes	WBJ	USGS	8.10	6960	15.0	0.00	-0.571	GOOD	-0.10	1.80		MEAS	1	Unspecified	CRAN	QUNSP		6960	214	2490	2.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	218	1987-04-10 13:25:00	EDT	Yes	WBJ	USGS	10.55	10400	15.0	0.00	-9.60	GOOD	-0.03	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		10400	232	3020	3.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	219	1988-02-29 10:00:00	EST	Yes	WBJ	USGS	2.84	1110	15.0	0.00	1.10	GOOD	-0.01	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1110	175	1330	0.830	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	220	1988-03-07 12:10:00	EST	Yes	WBJ	USGS	5.90	4080	15.0	0.00	2.20	GOOD	-0.03	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4080	210	2020	2.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	221	1988-05-24 12:20:00	EDT	Yes	WBJ/GRO	USGS	5.11	3080	15.0	0.00	-1.30	FAIR	0.36	2.20		MEAS	1	Unspecified	CRAN	QUNSP		3080	199	1700	1.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	222	1988-11-29 09:40:00	EST	Yes	WBJ	USGS	2.28	884.0	15.0	0.00	21.0	UNSP	0.00	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		884.0	175	1320	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	223	1989-03-01 09:30:00	EST	Yes	WBJ	USGS	3.39	1580	15.0	0.00	3.10	FAIR	-0.04	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1580	180	1460	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	224	1989-03-07 10:05:00	EST	Yes	WBJ	USGS	11.40	12300	15.0	0.00	-6.82	UNSP	-0.19	1.20		MEAS	1	Unspecified	CRAN	QUNSP		12300	225	3330	3.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	225	1989-10-24 12:30:00	EDT	Yes	WBJ	USGS	3.90	2080	18.0	0.00	4.00	FAIR	-0.01	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2080	180	1530	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	226	1990-02-21 10:30:00	EST	Yes	OBR	USGS	3.70	1870	18.0	0.00	1.63	GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1870	200	1480	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03196800	227	1990-08-08 10:00:00	EDT	Yes	OBR	USGS	0.95	165.0	18.0	0.00	-2.94	UNSP	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		165.0	136	177	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
