#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03578000 ELK RIVER NEAR PELHAM, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03578000	1	1951-11-14		Yes	C.R/D.E	USGS	5.42	295				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	295	51.0	203	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	2	1951-11-15		Yes	C.R/D.E	USGS	6.61	449				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	449	66.0	274	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	3	1951-11-28		Yes	P.F	USGS	4.13	151				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	151	51.0	143	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	4	1951-12-15		Yes	C.R/P.F	USGS	10.11	2020				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2020	297	1390	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	5	1951-12-18		Yes	D.E	USGS	5.33	310				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	310	53.0	200	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	6	1951-12-21		Yes	D.E	USGS	9.68	1510				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1510	271	1190	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	7	1952-01-10		Yes	D.E	USGS	8.89	973				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	973	268	963	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	8	1952-02-01		Yes	D.E	USGS	4.34	187				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	187	50.0	146	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	9	1952-02-27		Yes	C.R/D.E	USGS	3.75	106				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	106	50.0	119	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	10	1952-03-11		Yes	D.E	USGS	9.90	1860				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1860	272	1240	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03578000	11	1952-04-11		Yes	P.F	USGS	3.32	60.1				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	60.1	49.0	101	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
