#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:20 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03582000 ELK RIVER ABOVE FAYETTEVILLE, TENN.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03582000	1	1934-03-01		Yes	CHP	USGS	4.10	1490				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1490	119	813	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	2	1934-03-04		Yes	CHP	USGS	21.63	20900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20900	209	4020	5.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	3	1934-03-06		Yes	CHP	USGS	14.00	8660				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8660	202	2400	3.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	4	1934-03-20		Yes	CHP	USGS	8.43	4350				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4350	143	1470	2.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	5	1934-03-24		Yes	CHP	USGS	18.08	14400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14400	212	3230	4.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	6	1934-03-30		Yes	CHP	USGS	7.88	4060				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4060	143	1410	2.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	7	1934-06-09		Yes	CHP	USGS	2.88	778				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	778	116	752	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	8	1934-09-20		Yes	CHP	USGS	1.66	225				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	225	61.0	97.9	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03582000	9	1934-09-20		Yes	CHP	USGS	1.66	240				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	240	62.0	99.7	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
