#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:25 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06796973 ELKHORN RIVER NR ATKINSON, NE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06796973	3	1982-09-28		Yes	Wades	USGS	2.00	6.77				UNSP	0.28		UNSP	UNSP	1		UNSP	QSCMM		6.77	10.0	5.24	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	4	1982-10-07		Yes	DLS	USGS	2.16	13.0				UNSP	0.08		UNSP	UNSP	1		UNSP	QSCMM		13.0	14.5	6.67	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	5	1982-11-04		Yes	DLS	USGS	2.37	24.5				UNSP	0.09		UNSP	UNSP	1		UNSP	QSCMM		24.5	18.5	10.9	2.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	6	1982-12-02		Yes	HWT	USGS	2.99	62.2				UNSP	0.19		UNSP	UNSP	1		UNSP	QSCMM		62.2	21.0	33.4	1.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	7	1982-12-30		Yes	DLS	USGS	3.29	6.04				UNSP	0.19		UNSP	UNSP	1		UNSP	QSCMM		6.04	37.0	16.3	0.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	8	1983-01-27		Yes	HWT	USGS	3.26	56.7				UNSP	0.17		UNSP	UNSP	1		UNSP	QSCMM		56.7	34.0	39.8	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	9	1983-02-18		Yes	HWT	USGS	7.08	814				UNSP	0.17		UNSP	UNSP	1		UNSP	QSCMM		814	120	508	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	10	1983-02-23		Yes	TLK	USGS	6.30	603				UNSP	0.01		UNSP	UNSP	1		UNSP	QSCMM		603	121	363	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	11	1983-02-24		Yes	TLK	USGS	6.30	621				UNSP	0.04		UNSP	UNSP	1		UNSP	QSCMM		621	120	354	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	12	1983-03-02		Yes	HWT	USGS	4.63	231				UNSP	0.05		UNSP	UNSP	1		UNSP	QSCMM		231	53.0	117	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	13	1983-03-23		Yes	DLS	USGS	4.51	236				UNSP	0.20		UNSP	UNSP	1		UNSP	QSCMM		236	86.0	131	1.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	14	1983-04-19		Yes	DLS	USGS	5.88	505				UNSP	0.07		UNSP	UNSP	1		UNSP	QSCMM		505	119	309	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	15	1983-05-02		Yes	DLS	USGS	7.87	1510				UNSP	0.05		UNSP	UNSP	1		UNSP	QSCMM		1510	121	560	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	16	1983-05-03		Yes	DLS	USGS	7.73	1480				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		1480	122	659	2.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	17	1983-05-19		Yes	DLS	USGS	5.09	312				UNSP	0.04		UNSP	UNSP	1		UNSP	QSCMM		312	117	219	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	18	1983-06-22		Yes	DLS	USGS	3.77	125				UNSP	0.13		UNSP	UNSP	1		UNSP	QSCMM		125	48.0	65.2	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	19	1983-07-12		Yes	DLS	USGS	3.94	125				UNSP	0.04		UNSP	UNSP	1		UNSP	QSCMM		125	50.0	63.2	1.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	20	1983-08-16		Yes	DLS	USGS	2.97	44.4				UNSP	0.08		UNSP	UNSP	1		UNSP	QSCMM		44.4	28.0	29.9	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	21	1983-09-07		Yes	DLS	USGS	2.67	22.0				UNSP	0.28		UNSP	UNSP	1		UNSP	QSCMM		22.0	21.0	16.4	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	22	1983-10-06		Yes	Studnick	USGS	2.65	24.8				UNSP	0.19		UNSP	UNSP	1		UNSP	QSCMM		24.8	25.0	19.7	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06796973	23	1983-11-03		Yes	DLS	USGS	2.71	28.4				UNSP	0.06		UNSP	UNSP	1		UNSP	QSCMM		28.4	27.0	20.8	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
