#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:29 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06798500 ELKHORN RIVER AT NELIGH, NE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06798500	1A	1931-01-31		Yes	Johnston	USGS		4800				UNSP	0.00		UNSP	UNSP	1		UNSP			4800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	2A	1931-02-03		Yes	Johnston	USGS		290				UNSP	0.00		UNSP	UNSP	1		UNSP			290				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	3A	1931-03-05		Yes	Johnston	USGS	2.75	267				UNSP	0.00		UNSP	UNSP	1		UNSP			267				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	4A	1931-04-22		Yes	Hanks	USGS	2.65	283				UNSP	0.00		UNSP	UNSP	1		UNSP			283				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	5A	1931-08-15		Yes	Hanks	USGS	2.00	54.0				UNSP	0.00		UNSP	UNSP	1		UNSP			54.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	6A	1931-08-29		Yes	Hanks	USGS	1.97	51.0				UNSP	0.00		UNSP	UNSP	1		UNSP			51.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	7A	1931-09-11		Yes	Hanks	USGS	1.84	32.8				UNSP	0.00		UNSP	UNSP	1		UNSP			32.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	8A	1931-10-12		Yes	Eisenhut	USGS	2.40	111				UNSP	0.00		UNSP	UNSP	1		UNSP			111				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	9A	1931-10-27		Yes	Eisenhut	USGS	2.44	111				UNSP	0.00		UNSP	UNSP	1		UNSP			111				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	10A	1931-11-09		Yes	Eisenhut	USGS	2.49	126				UNSP	0.00		UNSP	UNSP	1		UNSP			126				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	11A	1931-11-19		Yes	Eisenhut	USGS	2.54	133				UNSP	0.00		UNSP	UNSP	1		UNSP			133				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	12A	1932-01-11		Yes	Hanks	USGS	2.84	144				UNSP	0.00		UNSP	UNSP	1		UNSP			144				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	13A	1932-02-08		Yes	Boyer	USGS	3.10	134				UNSP	0.00		UNSP	UNSP	1		UNSP			134				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	14A	1932-03-13		Yes	Hanks	USGS	3.31	179				UNSP	0.00		UNSP	UNSP	1		UNSP			179				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	15A	1932-04-03		Yes	Moore	USGS	2.84	300				UNSP	0.00		UNSP	UNSP	1		UNSP			300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06798500	16A	1932-05-23		Yes	Hanks	USGS	2.30	121				UNSP	0.00		UNSP	UNSP	1		UNSP			121				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
