#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:28:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02391860 ETOWAH RIVER DOWNSTREAM OF I-575, AT CANTON, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02391860	1	2008-05-28 11:43:00	EDT	Yes	AEA/WPB	USGS	2.57	350.0	 1.0		-6.6	GOOD	0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	350.0	114	276	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	2	2008-07-08 12:35:00	EDT	Yes	AEA	USGS	1.58	162.0	 1.0		-3.4	FAIR	0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	162.0	108	210	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	3	2008-08-11 11:35:00	EDT	Yes	AEA/CGS	USGS	1.27	117.0	 1.0		-0.1	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	117.0	113	207	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	4	2008-08-27 11:38:00	EDT	Yes	AEA/CAS	USGS	10.44	3730	 1.0		-1.6	POOR			CLER	OTHR	1		MBOT	QADCP	VADCP	3580	114	1110	3.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	5	2008-08-27 12:27:00	EDT	Yes	AEA/CAS	USGS	10.14	3660	 1.0		0.8	POOR			CLER	OTHR	1		MBOT	QADCP	VADCP	3450	114	1110	3.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	6	2008-08-27 14:05:00	EDT	Yes	AEA/CAS	USGS	9.46	3210	 1.0		-1.5	POOR			CLER	OTHR	1		MBOT	QADCP	VADCP	3100	114	1020	3.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	7	2008-10-06 13:30:00	EDT	Yes	AEA	USGS	1.12	96.6	 1.0		1.5	POOR			CLER	MEAS	1		WADE	QSCMM	VADV	96.6	123	190	0.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02391860	8	2008-12-09 11:18:00	EST	Yes	AEA	USGS	1.94	218	 1.0	-0.08	-0.5	FAIR			CLER	MEAS	1		WADE	QSCMM	VADV	218	120	280	0.78	FIRM	SAND	UNEV	STDY	EVEN	UNSP	ATGA	0.00
USGS	02391860	9	2009-06-30 10:36:00	EDT	Yes	ERF	USGS	2.48	358	 1.0	-0.02	2.6	FAIR	0.00	0.63	CLER	MEAS	1		WADE	QSCMM	VADV	358	112	242	1.48	FIRM	SAND	UNEV	STDY	EVEN	UNSP	DNST	50
USGS	02391860	10	2009-07-30 11:14:00	EDT	Yes	ERF	USGS	2.59	400	 1.0	-0.02	6.7	FAIR	0.00	0.60	CLER	UNSP	1		WADE	QSCMM	VADV	400	104	247	1.62	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	50
USGS	02391860	11	2009-11-03 11:21:00	EST	Yes	ERF/JLS	USGS	5.37	1310	 1.0	-0.02	0.0	GOOD		0.47	CLER	MEAS	1		MBOT	QADCP	VADCP	1310	128	604	2.18	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	02391860	12	2010-03-04 12:40:30	EST	Yes	ERF/SRS	USGS	6.47	1710	 1.0	-0.18	-0.6	FAIR	0.00	0.05	CLER	MEAS	1		MBOT	QADCP	VADCP	1710	110	643	2.90	FIRM	SAND	UNEV	STDY	EVEN	UNSP	DNST	25
