#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:28:09 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02396000 ETOWAH RIVER AT ROME, GA.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02396000	1	1937-12-07		Yes	CSH	USGS	4.80	1174		0.00		UNSP				MEAS	1	Unspecified	UNSP			1174				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	2	1938-04-03		Yes	DCK	USGS	23.00	17280		0.00		UNSP	-0.20	1.30		MEAS	1	Unspecified	UNSP			17280				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	3	1938-04-04		Yes	DCK	USGS	12.70	5813		0.00		UNSP	-0.40	1.00		MEAS	1	Unspecified	UNSP			5813				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	4	1938-04-05		Yes	DCK	USGS	10.85	5090		0.00		UNSP	-0.10	0.70		MEAS	1	Unspecified	UNSP			5090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	5	1938-04-09		Yes	CSH	USGS	35.38	46480		0.00		UNSP	0.27	2.40		MEAS	1	Unspecified	UNSP			46480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	7	1938-04-10		Yes	WJS	USGS	34.16	25960		0.00		UNSP	-0.53	2.80		MEAS	1	Unspecified	UNSP			25960				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	6	1938-04-10		Yes	WLS	USGS	35.25	32940		0.00		UNSP	-0.11	1.50		MEAS	1	Unspecified	UNSP			32940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	8	1938-04-11		Yes	WLS	USGS	31.00	8339		0.00		UNSP	-0.17	2.50		MEAS	1	Unspecified	UNSP			8339				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02396000	9	1939-02-01		Yes	WJS	USGS	12.67	3940		0.00		GOOD	-0.12	1.00		MEAS	1	Unspecified	UNSP			3940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
