#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:29:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07106000 FOUNTAIN CREEK NEAR FOUNTAIN, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07106000	2	1985-07-15		Yes	STG	USGS	4.23	64.1	 1.0	-0.820		GOOD	0.04	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		64.1	54.0	26.6	2.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	3	1985-07-20		Yes	RDS/WFP	USGS	10.38	7020	 1.0	0.00	-1.00	FAIR				MEAS	1	Unspecified	OTHR	QIDIR		7020				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	4	1985-07-20		Yes	STG/WB	USGS	4.45	658.0	 1.0	-0.080	0.00	FAIR	-0.02	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		658.0	107	167	3.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	5	1985-07-22		Yes	GK	USGS	4.16	317.0	 1.0	-0.220		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		317.0	77.0	82.4	3.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	6	1985-07-29		Yes	WDB/JRS	USGS	4.34	742.0	 1.0	0.140		FAIR			LGDB	MEAS	1	Unspecified	WADE	QUNSP		742.0	150	175	4.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	7	1985-08-01		Yes	STG/GK	USGS	3.97	303.0	 1.0	-0.050	0.00	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		303.0	76.0	83.3	3.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	8	1985-08-13		Yes	WB	USGS	3.58	130.0	 1.0	0.00	2.00	GOOD	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		130.0	57.0	43.8	2.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	9	1985-08-22		Yes	GK	USGS	3.54	109.0	 1.0	0.00	-2.00	GOOD	-0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		109.0	62.5	39.1	2.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	11	1985-09-11		Yes	RDS/STG	USGS	8.52	4040	 1.0	0.00	-2.00	FAIR				OTHR	1	Unspecified	OTHR	QIDIR		4040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	10	1985-09-11		Yes	STG	USGS	3.27	67.0	 1.0	0.150	0.00	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		67.0	51.0	27.8	2.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	12	1985-09-12		Yes	WB	USGS	4.34	611.0	 1.0	0.00	-3.00	GOOD	-0.06	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		611.0	125	141	4.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	13	1985-09-16		Yes	STG	USGS	3.71	150.0	 1.0	-0.080	0.00	GOOD	-0.02	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		150.0	67.0	50.2	2.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	14	1985-10-08		Yes	STG/MAS	USGS	3.56	90.8	 1.0	-0.080	3.00	GOOD	-0.01	0.80	LGDB	MEAS	1	Unspecified	WADE	QUNSP		90.8	65.0	36.7	2.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	15	1985-10-22		Yes	STG	USGS	3.52	99.9	 1.0	-0.010	1.00	FAIR	-0.01	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		99.9	69.0	38.1	2.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	16	1985-10-23		Yes	STG	USGS	3.55	115.0	 1.0	0.00	0.00	FAIR	0.03	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		115.0	71.0	42.0	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	17	1985-10-24		Yes	STG	USGS	3.50	85.2	 1.0	-0.020	-3.00	GOOD	-0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		85.2	70.0	37.3	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	18	1985-11-06		Yes	STG	USGS	3.48	109.0	 1.0	0.040	6.00	FAIR	-0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		109.0	70.0	38.3	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	19	1985-12-05		Yes	STG	USGS	3.57	127.0	 1.0	0.020	-3.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		127.0	67.0	47.1	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	20	1986-01-06		Yes	STG	USGS	3.63	128.0	 1.0	-0.050		FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		128.0	60.0	46.6	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	21	1986-02-19		Yes	STG	USGS	3.58	101.0	 1.0	-0.070		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		101.0	72.0	42.9	2.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	22	1986-03-18		Yes	STG	USGS	3.42	100.0	 1.0	0.090		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		100.0	56.0	39.4	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	23	1986-04-15		Yes	STG	USGS	3.12	71.6	 1.0	0.310		FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		71.6	49.0	32.6	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	24	1986-04-30		Yes	MAS	USGS	3.04	55.1	 1.0	0.340		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		55.1	47.0	23.8	2.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	25	1986-05-13		Yes	STG	USGS	3.05	49.7	 1.0	0.320		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		49.7	48.0	24.0	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	26	1986-06-05		Yes	MDK	USGS	3.48	237.0	 1.0	0.330		GOOD	-0.03	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		237.0	70.0	70.5	3.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	27	1986-06-10		Yes	STG	USGS	3.43	159.0	 1.0	0.220		FAIR	-0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		159.0	66.0	50.7	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	28	1986-07-03		Yes	MAS	USGS	3.17	40.3	 1.0	0.160		GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		40.3	53.4	20.4	1.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	29	1986-07-07		Yes	STG	USGS	3.28	71.6	 1.0	0.150		FAIR	-0.08	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		71.6	60.0	29.7	2.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	30	1986-07-15		Yes	RL	USGS	3.14	38.8	 1.0	0.190		FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		38.8	33.0	19.3	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	31	1986-07-15		Yes	RDS/BDB	USGS	3.24	64.2	 1.0	0.170		GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		64.2	42.0	26.3	2.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	32	1986-08-05		Yes	STG	USGS	3.11	46.8	 1.0	0.250		FAIR	-0.02	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		46.8	28.0	18.1	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	33	1986-08-14		Yes	WFP/WDB	USGS	4.92	1040	 1.0	0.00	-5.00	FAIR	-0.09	0.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1040	124	167	6.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	34	1986-08-15		Yes	JRS	USGS	3.48	110.0	 1.0	0.060		GOOD	-0.06	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		110.0	34.5	35.8	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	35	1986-08-21		Yes	STG/JRS	USGS	3.12	17.5	 1.0	0.110		FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		17.5	28.0	10.1	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	36	1986-08-26		Yes	STG	USGS	3.43	94.5	 1.0	0.060	3.00	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		94.5	43.0	30.7	3.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	37	1986-09-09		Yes	STG	USGS	3.55	85.4	 1.0	-0.080		FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		85.4	48.0	29.8	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	38	1986-10-07		Yes	STG	USGS	3.44	41.0	 1.0	-0.100		FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		41.0	45.0	22.0	1.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	39	1986-11-07		Yes	MDK	USGS	3.54	93.0	 1.0	-0.050		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	UNSP			93.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	40	1986-12-03		Yes	MDK	USGS	3.58	76.0	 1.0	-0.130		GOOD	-0.01	0.30	CLER	MEAS	1	Unspecified	UNSP			76.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	42	1986-12-09		Yes	MAS	USGS	3.61	77.1	 1.0	-0.170	4.00	FAIR			CLER	MEAS	1	Unspecified	UNSP			77.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	41	1986-12-09		Yes	STG	USGS	3.71	107.0	 1.0	-0.170	-4.00	FAIR	-0.02	0.40	CLER	MEAS	1	Unspecified	UNSP			107.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	43	1987-01-08		Yes	MDK	USGS	3.68	94.7	 1.0	-0.170	-4.00	GOOD	-0.01	0.60		MEAS	1	Unspecified	UNSP			94.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	44	1987-02-06		Yes	MDK	USGS	3.66	94.1	 1.0	-0.170	4.00	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			94.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	45	1987-02-10 16:10:00	MST	Yes	PVG	USGS	3.72	110.0	 1.0	-0.190	3.00	GOOD	0.09	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		110.0	53.0	40.7	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	46	1987-02-11		Yes	STG	USGS	3.65	81.5	 1.0	-0.190	-4.00	FAIR	-0.04	0.60		MEAS	1	Unspecified	UNSP			81.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	47	1987-03-19		Yes	MDK	USGS	3.90	231.0	 1.0	-0.100		GOOD	0.07	0.50	MDDB	MEAS	1	Unspecified	WADE	QUNSP		231.0	51.0	61.7	3.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	48	1987-04-03		Yes	JRS	USGS	3.71	126.0	 1.0	-0.140	3.00	GOOD	0.00	0.60	MDDB	MEAS	1	Unspecified	WADE	QUNSP		126.0	47.0	40.2	3.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106000	49	1987-04-09		Yes	MDK	USGS	3.75	139.0	 1.0	-0.140		GOOD	0.00	0.50	MDDB	MEAS	1	Unspecified	WADE	QUNSP		139.0	48.0	41.2	3.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
