#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:29:17 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07106300 FOUNTAIN CREEK NEAR PINON, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07106300	35	1975-06-10		Yes	RDS/RKL	USGS	4.48	1520	 1.0	-0.060		FAIR	-0.25	0.90		MEAS	1	Unspecified	UNSP			1520				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	38	1975-07-23		Yes	JES/IK	USGS	4.59	1650	 1.0	-0.120		UNSP				MEAS	1	Unspecified	UNSP			1650				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	85	1978-08-29		Yes	HAL/L	USGS	4.56	1560	 1.0	-0.120		POOR	-0.49			MEAS	1	Unspecified	UNSP			1560				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	110	1980-05-01		Yes	JES/IK	USGS	4.81	1670	 1.0	-0.110	-1.00	FAIR	-0.07	1.50		MEAS	1	Unspecified	UNSP			1670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	113	1980-05-08		Yes	STG/ME	USGS	6.80	7260	 1.0	0.00	1.00	FAIR	-0.14	0.42		MEAS	1	Unspecified	UNSP			7260				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	114	1980-05-08		Yes	RDS	USGS	6.67	5740	 1.0	0.00	-2.00	FAIR	-0.11	0.60		MEAS	1	Unspecified	UNSP			5740				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	112	1980-05-08		Yes	STG/ME	USGS	6.62	5820	 1.0	0.00	7.00	POOR	0.38	2.00		MEAS	1	Unspecified	UNSP			5820				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	137	1981-06-03		Yes	TCC	USGS	3.94	1590	 2.0	0.700		POOR	-0.58	2.25		MEAS	1	Unspecified	UNSP			1590				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	143	1981-08-06		Yes	GK	USGS	5.19	3040	 2.0	0.480		FAIR	-0.86	2.10		MEAS	1	Unspecified	UNSP			3040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	146	1981-08-12		Yes	ME	USGS	4.81	2360	 2.0	0.380		FAIR	0.15	1.91		MEAS	1	Unspecified	UNSP			2360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	164	1982-06-03		Yes	MDK/KNN	USGS	5.15	2420	 2.0	0.080		GOOD				MEAS	1	Unspecified	UNSP			2420				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	175	1982-06-29		Yes	STG/WFP	USGS	5.02	2950	 2.0	0.590		FAIR	-0.32	0.70		MEAS	1	Unspecified	UNSP			2950				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	184	1982-08-21		Yes	TCC	USGS	3.79	1530	 2.0	0.820	-1.00	GOOD	-0.38	1.50		MEAS	1	Unspecified	UNSP			1530				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	183	1982-08-21		Yes	RDS	USGS	5.29	3870	 2.0	0.860		FAIR	-0.92	1.50		MEAS	1	Unspecified	UNSP			3870				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	241	1984-10-05		Yes	STG	USGS	3.41	1010	 3.0	0.350		FAIR	0.03	1.30		MEAS	1	Unspecified	WADE	QUNSP		1010	146	200	5.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	242	1984-10-16		Yes	STG	USGS	2.56	245.0	 3.0	0.380		GOOD	-0.04	0.60		MEAS	1	Unspecified	WADE	QUNSP		245.0	78.0	73.2	3.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	243	1984-10-29		Yes	STG	USGS	2.86	398.0	 3.0	0.270	1.00	GOOD	-0.06	0.80		MEAS	1	Unspecified	WADE	QUNSP		398.0	98.6	105	3.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	244	1984-11-09		Yes	STG	USGS	2.82	329.0	 3.0	0.230		GOOD	0.00	0.70		MEAS	1	Unspecified	WADE	QUNSP		329.0	92.0	88.9	3.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	245	1984-11-16		Yes	STG	USGS	2.79	245.0	 3.0	0.140	2.00	GOOD	-0.03	0.80		MEAS	1	Unspecified	WADE	QUNSP		245.0	81.0	71.9	3.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	246	1984-11-27		Yes	PE	USGS	2.74	197.0	 3.0	0.140	-4.00	FAIR	-0.03	0.50		MEAS	1	Unspecified	WADE	QUNSP		197.0	68.0	57.9	3.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	247	1984-12-11		Yes	STG	USGS	2.65	178.0	 3.0	0.190		GOOD	0.02	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		178.0	80.5	57.6	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	248	1985-01-08		Yes	STG	USGS	2.56	171.0	 3.0	0.270		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		171.0	81.0	54.0	3.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	249	1985-02-20		Yes	STG	USGS	2.53	153.0	 3.0	0.270		GOOD	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		153.0	79.0	53.9	2.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	250	1985-03-20		Yes	STG	USGS	2.42	157.0	 3.0	0.380		GOOD	-0.02	0.60		MEAS	1	Unspecified	WADE	QUNSP		157.0	80.0	50.3	3.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	251	1985-04-23		Yes	STG	USGS	2.66	388.0	 3.0	0.460		GOOD	-0.02	0.75		MEAS	1	Unspecified	WADE	QUNSP		388.0	91.0	101	3.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	252	1985-04-30		Yes	STG	USGS	3.15	955.0	 3.0	0.560		FAIR	0.04	1.08		MEAS	1	Unspecified	WADE	QUNSP		955.0	125	184	5.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	253	1985-05-03		Yes	STG	USGS	2.88	718.0	 3.0	0.610		FAIR	-0.02	1.60		MEAS	1	Unspecified	WADE	QUNSP		718.0	117	153	4.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	254	1985-05-08		Yes	STG	USGS	3.23	575.0	 3.0	0.100	1.00	GOOD	0.25	0.92		MEAS	1	Unspecified	WADE	QUNSP		575.0	120	134	4.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	255	1985-05-17		Yes	STG	USGS	2.80	374.0	 3.0	0.400	-1.00	GOOD	0.00	0.83		MEAS	1	Unspecified	WADE	QUNSP		374.0	106	100	3.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	256	1985-05-21		Yes	STG	USGS	2.61	486.0	 3.0	0.610		FAIR	0.02	0.67		MEAS	1	Unspecified	WADE	QUNSP		486.0	119	119	4.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	257	1985-05-22		Yes	WFP/JRS	USGS	3.25	871.0	 3.0	0.390		GOOD	-0.06	0.90		MEAS	1	Unspecified	WADE	QUNSP		871.0	184	205	4.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	258	1985-05-24		Yes	STG	USGS	2.69	563.0	 3.0	0.640		GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		563.0	150	150	3.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	259	1985-05-30		Yes	STG	USGS	2.16	331.0	 3.0	0.890		GOOD	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		331.0	115	100	3.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	260	1985-06-07		Yes	STG	USGS	2.04	215.0	 3.0	0.850		GOOD	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		215.0	106	73.9	2.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	261	1985-06-13		Yes	STG	USGS	2.15	216.0	 3.0	0.740		GOOD	0.00	0.90		MEAS	1	Unspecified	WADE	QUNSP		216.0	108	67.3	3.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	262	1985-06-18		Yes	STG	USGS	2.10	180.0	 3.0	0.740		GOOD	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		180.0	98.0	58.5	3.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	263	1985-06-24		Yes	STG	USGS	2.23	93.0	 3.0	0.490		FAIR	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		93.0	73.0	35.9	2.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	264	1985-07-01		Yes	STG	USGS	1.96	21.2	 3.0	0.640		GOOD	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		21.2	20.3	8.18	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	265	1985-07-08		Yes	STG	USGS	1.84	11.7	 3.0	0.720		GOOD	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		11.7	20.9	6.42	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	266	1985-07-15		Yes	STG	USGS	2.25	32.7	 3.0	0.380		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		32.7	57.0	16.4	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	267	1985-07-20		Yes	MDK/BDB	USGS	5.07	3840	 3.0	0.880		FAIR	-0.90	1.08		MEAS	1	Unspecified	CRAN	QUNSP		3840	223	1250	3.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	268	1985-07-20		Yes	MDK/BDB	USGS	4.01	2540	 3.0	0.940		FAIR	-0.38	1.00		MEAS	1	Unspecified	CRAN	QUNSP		2540	213	537	4.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	269	1985-07-22		Yes	STG	USGS	3.05	385.0	 3.0	0.00		GOOD	-0.18	0.70		MEAS	1	Unspecified	WADE	QUNSP		385.0	107	91.8	4.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	270	1985-07-24		Yes	STG	USGS	2.96	335.0	 3.0	0.00		GOOD	-0.02	0.75		MEAS	1	Unspecified	WADE	QUNSP		335.0	101	88.4	3.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	271	1985-07-29		Yes	STG	USGS	3.48	882.0	 3.0	0.00		FAIR	-0.02	0.40		MEAS	1	Unspecified	WADE	QUNSP		882.0	144	208	4.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	272	1985-07-31		Yes	STG	USGS	2.86	360.0	 3.0	0.230		GOOD	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		360.0	0.890	96.6	3.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07106300	273	1985-08-06		Yes	STG	USGS	2.66	254.0	 3.0	0.290		GOOD	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		254.0	66.5	65.3	3.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
