#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:29:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04072410 FOX RIVER NEAR PARDEEVILLE, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04072410	1	1992-09-08 14:01:00	CDT	Yes	WJR/PAK	USGS	3.46	14.0	 1.0	0.00	1.40	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		14.0	25.2	23.1	0.600	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	2	1992-10-21 12:42:00	CDT	Yes	JH	USGS	3.89	23.9	 1.0	0.00	-3.60	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		23.9	28.8	30.4	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	3	1992-10-30 16:42:00	CST	Yes	JH	USGS	3.56	15.7	 1.0	0.00	-0.600	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.7	25.0	24.5	0.640	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	4	1992-11-04 08:46:00	CST	Yes	JH/PAK	USGS	4.43	42.9	 1.0	0.00	1.20	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		42.9	30.0	47.0	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	5	1992-11-24 14:42:00	CST	Yes	JH	USGS	5.39	80.2	 1.0	0.00	0.800	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		80.2	36.0	81.7	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	6	1992-12-04 11:55:00	CST	Yes	JH	USGS	4.07	30.6	 1.0	0.00	1.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.6	30.0	38.7	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	7	1993-01-20 09:07:00	CST	Yes	JH	USGS	3.82	16.0	 1.0		0.00	GOOD	0.00	0.60	CICE	MEAS	1	Unspecified	ICE	QSCMM		16.0	24.6	21.2	0.750	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	8	1993-02-02 14:48:00	CST	Yes	JH	USGS	4.03	32.6	 1.0		0.00	FAIR	0.01	0.40	SICE	MEAS	1	Unspecified	WADE	QUNSP		32.6	28.5	35.2	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04072410	9	1993-03-01 15:11:00	CST	Yes	JH	USGS	3.65	19.6	 1.0		0.00	FAIR	0.00	0.50	SICE	MEAS	1	Unspecified	WADE	QUNSP		19.6	24.7	22.0	0.890	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
