#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:29:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05548500 FOX RIVER AT JOHNSBURG, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05548500	1	1990-10-19 08:45:00	CST	Yes	RJL/SMR	USGS	3.77	1010	 1.0	0.00		GOOD	0.00	2.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1010	453	1750	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	6	1990-11-01		Yes	FOS/PDH	USGS	2.70	534.0	 1.0	0.00		POOR	0.04	0.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		534.0	434	1210	25.0	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	2	1990-11-01 07:30:00	CST	Yes	PDH/FS	USGS	2.77	631.0	 1.0	0.00		POOR	0.00	1.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		631.0	435	1210	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	3	1990-11-01 10:00:00	CST	Yes	FOS	USGS	2.71	560.0	 1.0	0.00		POOR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		560.0	408	1280	0.440	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	4	1990-11-01 10:35:00	CST	Yes	FOS/PDH	USGS	2.70	620.0	 1.0	0.00		POOR	0.00	0.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		620.0	434	1270	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	5	1990-11-01 11:00:00	CST	Yes	FOS/PDH	USGS	2.70	632.0	 1.0	0.00		POOR	0.00		CLER	MEAS	1	Unspecified	CRAN	QUNSP		632.0	434	1270	0.470	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	7	1990-11-01 11:35:00	CST	Yes	AM	USGS	2.70	172.0	 1.0	0.00		POOR	0.05	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		172.0	438	1370	0.130	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	8	1990-11-01 12:20:00	CST	Yes	FOS/PDH	USGS	2.75	-12.9	 1.0	0.00		POOR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		-12.9	434	1370	0.140	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05548500	9	1990-11-01 12:51:00	CST	Yes	FOS/PDH	USGS	2.72	-28.4	 1.0	0.00		POOR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		-28.4	434	1300	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
