#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:29:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05551580 FOX RIVER AT YORKVILLE, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05551580	6	2012-05-29 11:34:00	CST	Yes	MEL	USGS	12.54	562	 1.0	0.00	6.2	POOR	0.00	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	562	447	1880	0.30	FIRM	GRVL	UNEV	STDY	EVEN	STND	UPST	200.00
USGS	05551580	7	2012-07-10 09:20:00	CST	Yes	MEL	USGS	12.24	194	 1.0	0.00	4.3	FAIR	0.02	0.30	MAMD	MEAS	1	1	MBOT	QADCP	VADCP	194	463	1390	0.14	FIRM	SAND	EVEN	STDY	EVEN	STND	UPST	1200.00
USGS	05551580	8	2012-08-02 10:26:00	CST	Yes	MEL	USGS	12.30	219	 1.0	0.00	-5.2	FAIR	-0.01	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	219	575	1400	0.16	FIRM	GRVL	UNEV	STDY	EVEN	STND	UPST	1200.00
USGS	05551580	9	2012-09-14 10:09:30	CST	Yes	MEL	USGS	12.34	263	 1.0	0.00	-1.1	GOOD	-0.01	0.30	MDDB	MEAS	1	main	MBOT	QADCP	VADCP	263	598	1500	0.17	FIRM	SAND	UNEV	STDY	EVEN	STND	UPST	1500.00
USGS	05551580	10	2012-10-25 11:16:30	CST	Yes	jag	USGS	12.58	575	 1.0	0.00	-4.8	GOOD	-0.01	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	575	546	1860	0.31	FIRM	GRVL	EVEN	STDY	EVEN	STND	UPST	1500.00
USGS	05551580	11	2012-12-26 10:04:00	CST	Yes	MEL/crb	USGS	12.68	816	 1.0	0.00	-2.9	GOOD	0.00	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	816	551	1920	0.42	FIRM	GRVL	UNEV	STDY	EVEN	STND	UPST	1500.00
USGS	05551580	12	2013-02-13 12:27:00	CST	Yes	mel/crb	USGS	13.03	2270	 1.0	0.10	8.6	POOR	-0.02	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	2270	547	2180	1.04	FIRM	GRVL	UNEV	STDY	EVEN	STND	UPST	1700.00
USGS	05551580	13	2013-03-12 13:25:38	CST	Yes	PJD	USGS	14.13	5550	 1.0	0.00	-2.6	GOOD	-0.02	0.30	LGDB	MEAS	1	MAIN	BRUS	QADCP	VADCP	5550	500	2730	2.04	FIRM	GRVL	EVEN	STDY	EVEN	UNFM	UPST	2000.00
USGS	05551580	14	2013-04-16 10:05:00	CST	Yes	mel	USGS	13.94	4650	 1.0	0.00	-4.9	GOOD	0.00	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	4650	555	2760	1.69	FIRM	GRVL	UNEV	STDY	EVEN	STND	UPST	1700.00
