#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:29:53 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03439000 FRENCH BROAD RIVER AT ROSMAN, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03439000	1	1907-05-07		Yes	WEH	USGS	2.31	235				UNSP				MEAS	1		UNSP	QSCMM		235				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	2	1907-07-16		Yes	WEH	USGS	2.00	132				UNSP				MEAS	1		UNSP	QSCMM		132				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	3	1907-09-23		Yes	WEH	USGS	2.90	538				UNSP				MEAS	1		UNSP	QSCMM		538				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	4	1907-09-23		Yes	WEH	USGS	2.83	474				UNSP				MEAS	1		UNSP	QSCMM		474				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	5	1907-09-23		Yes	WEH	USGS	2.78	440				UNSP				MEAS	1		UNSP	QSCMM		440				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	6	1907-12-16		Yes	WEH	USGS	2.50	289				UNSP				MEAS	1		UNSP	QSCMM		289				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	7	1908-07-18		Yes	FPT	USGS	2.10	163				UNSP				MEAS	1		UNSP	QSCMM		163				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	8	1909-06-14 16:00:00	EST	Yes	EHS	USGS	5.30	2307		0.00		UNSP	0.50			MEAS	1	Unspecified	UNSP			2307				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03439000	9	1925-07-29 16:30:00	EST	Yes	EDB	USGS	0.90	51.8		0.00		UNSP	0.00	0.50		MEAS	1	Unspecified	CRAN	QUNSP		51.8	58.0	159	0.330	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
