#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:36 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04221000 GENESEE RIVER AT WELLSVILLE NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04221000	1	1955-07-26		Yes	X	USGS	2.14	17.1				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17.1	27.0	16.4	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	2	1955-08-08		Yes	X	USGS	2.14	15.9				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15.9	26.0	16.1	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	3	1955-09-08		Yes	X	USGS	2.18	22.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	22.3	36.0	24.4	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	4	1955-10-12		Yes	X	USGS	2.30	45.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	45.0	45.0	35.8	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	5	1955-10-15		Yes	X	USGS	8.13	4760				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4760	139	977	4.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	6	1955-10-15		Yes	X	USGS	6.16	2630				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2630	134	686	3.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	5A	1955-10-15		Yes	X	USGS	9.26	6240				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6240	129	1110	5.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	5B	1955-10-15		Yes	X	USGS	6.83	3420				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3420	124	784	4.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	7	1955-11-15		Yes	X	USGS	3.53	579				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	579	117	396	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	8	1955-12-12		Yes	X	USGS	3.05	323				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	323	117	349	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	9	1956-01-10		Yes	X	USGS	2.62	151				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	151	102	124	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	10	1956-02-15		Yes	X	USGS	2.82	209				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	209	120	244	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	11	1956-03-07		Yes	X	USGS	10.76	10100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10100	140	1380	7.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	12	1956-03-12		Yes	X	USGS	5.17	1910				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1910	134	583	3.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	13	1956-04-10		Yes	X	USGS	4.75	1490				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1490	134	515	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04221000	14	1956-05-03		Yes	X	USGS	3.72	650				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	650	124	369	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
