#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04223000 GENESEE RIVER AT PORTAGEVILLE NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04223000	1	1945-12-18		Yes	X	USGS	4.56	1170				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1170	164	350	3.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	2	1946-01-10		Yes	X	USGS	7.87	5900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5900	195	1560	3.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	3	1946-02-05		Yes	X	USGS	4.20	757				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	757	206	350	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	4	1946-03-11		Yes	X	USGS	5.40	2050				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2050	174	912	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	5	1946-04-12		Yes	X	USGS	3.66	454				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	454	182	254	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	6	1946-05-14		Yes	X	USGS	3.88	487				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	487	171	555	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	7	1946-06-28		Yes	X	USGS	4.72	1460				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1460	229	529	2.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	8	1946-07-30		Yes	X	USGS	3.32	313				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	313	286	341	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	9	1946-08-18		Yes	X	USGS	5.63	2260				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2260	181	707	3.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	10	1946-09-24		Yes	X	USGS	2.87	168				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	168	117	114	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	11	1946-10-17		Yes	X	USGS	3.37	839				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	839	148	193	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	12	1946-11-20		Yes	X	USGS	4.17	787				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	787	173	451	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	13	1946-12-18		Yes	X	USGS	4.43	996				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	996	177	508	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	14	1947-01-14		Yes	X	USGS	4.39	987				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	987	180	532	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	15	1947-03-06		Yes	X	USGS	3.58	392				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	392	130	168	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	16	1947-03-16		Yes	X	USGS	5.43	2130				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2130	180	670	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	17	1947-03-25		Yes	X	USGS	10.62	12500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	12500	220	1720	7.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	18	1947-04-05		Yes	X	USGS	12.14	16400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16400	220	2020	8.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	19	1947-04-07		Yes	X	USGS	9.68	9540				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9540	208	1410	6.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	20	1947-04-08		Yes	X	USGS	6.90	4290				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4290	192	879	4.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	21	1947-05-24		Yes	X	USGS	5.66	2520				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2520	180	738	3.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	22	1947-06-04		Yes	X	USGS	8.14	6410				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6410	201	1160	5.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	23	1947-06-25		Yes	X	USGS	3.34	321				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	321	181	229	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	24	1947-08-06		Yes	X	USGS	2.89	185				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	185	147	141	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	25	1947-08-27		Yes	X	USGS	3.95	660				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	660	153	344	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	26	1947-09-26		Yes	X	USGS	3.01	211				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	211	159	193	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	27	1947-10-26		Yes	X	USGS	3.32	270				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	270	155	177	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	28	1947-11-22		Yes	X	USGS	3.92	592				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	592	171	384	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	29	1947-12-19		Yes	X	USGS	3.88	542				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	542	168	380	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	30	1948-01-16		Yes	X	USGS	3.52	199				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	199	144	223	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	31	1948-02-19		Yes	X	USGS	7.01	4530				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4530	190	936	4.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	32	1948-03-20		Yes	X	USGS	13.22	17700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17700	238	2420	7.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	33	1948-03-22		Yes	X	USGS	14.80	21400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	21400	247	2740	7.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	34	1948-03-24		Yes	X	USGS	7.30	4650				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4650	197	1000	4.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	35	1948-04-14		Yes	X	USGS	12.55	17600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17600	232	2210	7.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	36	1948-04-19		Yes	X	USGS	5.61	2310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2310	180	714	3.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	37	1948-05-15		Yes	X	USGS	5.47	2070				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2070	185	698	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	38	1948-06-15		Yes	X	USGS	3.76	494				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	494	175	404	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	39	1948-07-29		Yes	X	USGS	3.34	315				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	315	127	150	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	40	1948-08-24		Yes	X	USGS	3.43	339				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	339	132	204	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	41	1948-09-14		Yes	X	USGS	3.30	296				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	296	118	138	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	42	1948-10-25		Yes	X	USGS	3.90	566				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	566	171	419	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04223000	43	1948-11-20		Yes	X	USGS	4.12	756				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	756	169	460	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
