#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:39 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04227500 GENESEE RIVER NEAR MOUNT MORRIS NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04227500	300	1939-09-02		Yes	X	USGS	0.22	42.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	42.3	37.0	35.2	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	301	1939-10-02		Yes	X	USGS	1.65	410				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	410	101	264	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	302	1939-11-11		Yes	X	USGS	3.12	1230				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1230	120	429	2.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	303	1939-12-09		Yes	X	USGS	3.62	1500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1500	129	501	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	304	1940-01-08		Yes	X	USGS	4.42	524				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	524	131	560	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	305	1940-02-18		Yes	X	USGS	5.72	920				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	920	132	653	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	306	1940-04-03		Yes	X	USGS	21.76	15200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15200	183	3360	4.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	307	1940-04-05		Yes	X	USGS	24.02	25200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	25200	195	8280	3.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04227500	308	1940-04-18		Yes	X	USGS	7.51	4000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4000	138	1020	3.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
