#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04228500 GENESEE RIVER AT AVON NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04228500	1	1955-08-20		Yes	X	USGS	14.80	272				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	272	81.0	171	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	2	1955-09-20		Yes	X	USGS	14.06	101				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	101	59.0	76.2	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	3	1955-10-20		Yes	X	USGS	31.88	9790				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9790	210	3340	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	4	1955-11-29		Yes	X	USGS	19.41	1970				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1970	172	970	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	5	1955-12-17		Yes	X	USGS	18.13	1210				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1210	167	710	1.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	6	1956-01-27		Yes	X	USGS	15.83	446				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	446	127	204	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	7	1956-03-15		Yes	X	USGS	34.78	12800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	12800	225	3960	3.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	8	1956-03-16		Yes	X	USGS	34.60	12400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	12400	221	3930	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	9	1956-03-30		Yes	X	USGS	25.21	4540				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4540	183	1990	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	10	1956-04-06		Yes	X	USGS	32.78	10400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10400	212	3460	3.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	11	1956-05-22		Yes	X	USGS	20.37	2310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2310	173	1120	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	12	1956-06-04		Yes	X	USGS	19.25	1950				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1950	173	920	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	13	1956-07-24		Yes	X	USGS	16.06	714				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	714	166	412	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	14	1956-08-14		Yes	X	USGS	15.50	529				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	529	138	297	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04228500	15	1956-09-06		Yes	X	USGS	16.99	1020				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1020	170	544	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
