#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09430500 GILA RIVER NEAR GILA, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09430500	1303	1970-09-28		Yes	YAT	USGS	1.80	33.7	18.0	-6.00		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			33.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1304	1970-10-26		Yes	YAT	USGS	1.97	54.2	18.0	-0.030	0.010	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			54.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1305	1970-11-12		Yes	YAT	USGS	1.99	54.3	18.0	-0.040		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			54.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1306	1970-11-24		Yes	YAT	USGS	1.99	53.6	18.0	-0.050		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			53.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1307	1970-12-04		Yes	YAT	USGS	1.99	53.9	18.0	-0.050		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			53.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1308	1970-12-24		Yes	YAT	USGS	2.02	56.6	18.0	-0.060		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			56.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1309	1971-01-05		Yes	YAT	USGS	2.00	48.6	18.0	-0.100		GOOD	-0.02	0.50		MEAS	1	Unspecified	UNSP			48.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1310	1971-01-21		Yes	YAT	USGS	2.04	57.7	18.0	-0.070		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			57.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09430500	1311	1971-01-26		Yes	YAT	USGS	2.05	58.1	18.0	-0.070		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			58.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
