#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09431500 GILA RIVER NEAR REDROCK, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09431500	1127	1970-09-22		Yes	YAT	USGS	8.12	41.2	22.0	-0.480	-3.50	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			41.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1128	1970-10-09		Yes	YAT	USGS	8.26	63.5	22.0	-0.400		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			63.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1129	1970-11-06		Yes	YAT	USGS	8.12	41.4	22.0	-0.480		GOOD	-0.02	0.50		MEAS	1	Unspecified	UNSP			41.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1130	1970-11-23		Yes	YAT	USGS	8.28	65.7	22.0	-0.400		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			65.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1131	1970-12-08		Yes	YAT	USGS	8.27	63.4	22.0	-0.410		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			63.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1132	1970-12-15		Yes	YAT	USGS	8.36	83.1	22.0	-0.350		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			83.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1133	1971-01-04		Yes	YAT	USGS	8.37	82.7	23.0	0.050		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			82.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1134	1971-01-19		Yes	YAT	USGS	8.34	77.4	23.0	0.040		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			77.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1135	1971-02-03		Yes	YAT	USGS	8.30	68.2	23.0	0.020		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			68.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09431500	1136	1971-02-10		Yes	YAT	USGS	8.23	55.5	23.0	0.010		GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			55.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
