#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09432000 GILA RIVER BELOW BLUE CREEK, NEAR VIRDEN, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09432000	285	1974-11-02		Yes	Flake	USGS	5.30	209				GOOD	0.00	0.67		MEAS	1		UNSP	QSCMM		209	45.0	75.0	2.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	288	1975-01-31		Yes	Edington	USGS	8.48	1740				FAIR	0.05	0.50		MEAS	1		UNSP	QSCMM		1740	83.0	283	5.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	290	1975-03-31		Yes	Whetton	USGS	6.10	381				GOOD	0.00	1.17		MEAS	1		UNSP	QSCMM		381	109	129	2.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	291	1975-05-06		Yes	Edington	USGS	5.48	281				GOOD	0.00	0.42		MEAS	1		UNSP	QSCMM		281	59.0	89.8	3.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	299	1975-09-09		Yes	Bryce	USGS	10.39	3850				FAIR	0.04	0.92		MEAS	1		UNSP	QSCMM		3850				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	300	1975-09-16		Yes	Whetten	USGS	8.20	1520				FAIR	0.00	0.75		MEAS	1		UNSP	QSCMM		1520	95.0	276	5.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	301	1975-09-19		Yes	Edington	USGS	7.26	788				FAIR	0.00	0.67		MEAS	1		UNSP	QSCMM		788	90.0	184	4.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	302	1975-09-24		Yes	Bryce	USGS	6.58	310				POOR	-0.01	0.58		MEAS	1		UNSP	QSCMM		310	89.0	110	2.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	303	1975-09-30		Yes	Bryce	USGS	6.16	206				FAIR	0.02	0.50		MEAS	1		UNSP	QSCMM		206	89.0	84.8	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09432000	309	1976-02-12		Yes	Bryce	USGS	8.52	1540				GOOD	0.00	0.75		MEAS	1		UNSP	QSCMM		1540	96.0	301	5.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
