#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:30:58 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09466500 GILA RIVER AT CALVA, AZ.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09466500	462	1978-02-02		Yes	BNB	USGS	3.33	629				GOOD	0.02	0.50		MEAS	1		UNSP	QSCMM		629	132	183	3.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	463	1978-02-11		Yes	CEM	USGS	2.93	445				GOOD	-0.06	0.50		MEAS	1		UNSP	QSCMM		445	104	146	3.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	466	1978-03-02		Yes	BNB/MWE	USGS	5.65	1860				POOR	0.08	0.42		MEAS	1		UNSP	QSCMM		1860				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	467	1978-03-04		Yes	MIW/BNB	USGS	10.64	17400				POOR	0.00	1.67		MEAS	1		UNSP	QSCMM		17400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	468	1978-03-06		Yes	BNB	USGS	7.88	6480				FAIR	-0.10	1.67		MEAS	1		UNSP	QSCMM		6480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	469	1978-03-10		Yes	MWE	USGS	5.13	2190				POOR	-0.03	0.75		MEAS	1		UNSP	QSCMM		2190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	470	1978-03-17		Yes	BNB/MWE	USGS	3.54	874				GOOD	-0.01	0.75		MEAS	1		UNSP	QSCMM		874				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	471	1978-03-21		Yes	MWE	USGS	2.88	680				GOOD	0.00	0.50		MEAS	1		UNSP	QSCMM		680	160	240	2.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	472	1978-03-28		Yes	LLF/CEM	USGS	3.18	769				GOOD	0.00	0.75		MEAS	1		UNSP	QSCMM		769	139	282	2.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	473	1978-04-03		Yes	BNB	USGS	3.03	664				GOOD	0.00	0.50		MEAS	1		UNSP	QSCMM		664	94.0	216	3.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	494	1978-11-26		Yes	Lew/Jon	USGS	12.00	22400				FAIR	0.00	1.47		MEAS	1		UNSP	QSCMM		22400	516	5040	4.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	495	1978-11-29		Yes	MWE	USGS	5.28	2840				FAIR	-0.01	0.75		MEAS	1		UNSP	QSCMM		2840				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	496	1978-12-01		Yes	BNB	USGS	4.07	1650				GOOD	-0.02	1.00		MEAS	1		UNSP	QSCMM		1650	155	512	3.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	497	1978-12-11		Yes	BNB	USGS	2.14	415				GOOD	-0.01	0.50		MEAS	1		UNSP	QSCMM		415	125	195	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	498	1978-12-20		Yes	BNB/LLF	USGS	14.40	82300				FAIR	0.00	2.41		MEAS	1		UNSP	QSCMM		82300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	499	1978-12-21		Yes	Con/Jon	USGS	10.00	28100				POOR	-0.21	1.67		MEAS	1		UNSP	QSCMM		28100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	500	1978-12-26		Yes	MWE/CEM	USGS	3.46	3400				POOR	0.00	0.33		MEAS	1		UNSP	QSCMM		3400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	501	1979-01-01		Yes	CEM/LLF	USGS	3.99	5290				POOR	0.00	1.25		MEAS	1		UNSP	QSCMM		5290				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	502	1979-01-10		Yes	BNB/MWE	USGS	2.78	1910				GOOD	-0.02	0.58		MEAS	1		UNSP	QSCMM		1910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09466500	503	1979-01-20		Yes	LLF/CEM	USGS	4.00	12000				POOR	-0.60	2.08		MEAS	1		UNSP	QSCMM		12000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
