#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:31:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09474000 GILA RIVER AT KELVIN, AZ.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09474000	109	1982-01-20		Yes	SB	USGS	3.94	62.0	 8.0	0.050	0.00	GOOD	-0.01	0.42		MEAS	1	Unspecified	WADE	QUNSP		62.0	52.0	78.0	2.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	110	1982-02-17		Yes	SB	USGS	4.33	233.0	 8.0	0.060	0.00	FAIR	0.00	0.58		MEAS	1	Unspecified	WADE	QUNSP		233.0	53.0	115	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	111	1982-03-24		Yes	SCJ/ SB	USGS	5.68	531.0	 8.0	-0.200	-13.0	FAIR	-0.04	1.62		MEAS	1	Unspecified	WADE	QUNSP		531.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	112	1982-04-22		Yes	SCJ/ SB	USGS	5.64	578.0	 8.0	-0.030		GOOD	0.01	0.83		MEAS	1	Unspecified	WADE	QUNSP		578.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	113	1982-05-18		Yes	SCJ/ SB	USGS	4.80	331.0	 8.0	0.020	2.00	GOOD	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		331.0	68.0	132	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	113A	1982-06-10		Yes	KH	USGS	5.68			0.00		UNSP				UNSP																	
USGS	09474000	114	1982-06-16		Yes	SB	USGS	5.75	619.0	 8.0	-0.030		GOOD	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		619.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	115	1982-08-10		Yes	SB	USGS	6.18	858.0	 8.0	0.060		GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		858.0	76.0	264	3.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09474000	116	1982-09-01		Yes	SB/SCJ	USGS	5.71	635.0	 8.0	0.050	3.00	GOOD	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		635.0	76.0	216	2.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
