#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:31:24 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04111000 GRAND RIVER NEAR EATON RAPIDS, MI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04111000	5	1949-02-15		Yes	A	USGS	7.22	3170		0.00		FAIR	-0.05	3.70		MEAS	1	Unspecified	UNSP			3170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	9	1949-04-04		Yes	A	USGS	5.86	2190		0.00		FAIR	-0.01	1.60	CLER	MEAS	1	Unspecified	UNSP			2190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	47	1952-04-14		Yes	S/B	USGS	6.68	2660		0.00		FAIR	0.04	0.80		MEAS	1	Unspecified	UNSP			2660				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	94	1956-05-01		Yes	B	USGS	7.43	3180		0.00		GOOD	-0.04	1.10		MEAS	1	Unspecified	UNSP			3180				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	308	1975-04-19		Yes	CLE/DEH	USGS	7.86	3160		0.00		GOOD	-0.03	0.70		MEAS	1	Unspecified	UNSP			3160				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	372	1982-03-31		Yes	GL	USGS	6.23	2360		0.00		GOOD	0.00	0.80		MEAS	1	Unspecified	UNSP			2360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	377A	1988-07-11		Yes	DEQ	USGS		51.0				UNSP				MEAS	1	Unspecified	UNSP			51.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	378	1995-12-07 12:55:00	EST	Yes	RLL	USGS	2.74	525.0	13.0	0.00	2.10	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		525.0	125	232	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	379	1996-01-16 12:50:00	EST	Yes	RLL/RLH	USGS	2.20	276.0	13.0	0.00	-8.30	GOOD	0.02	0.60	CICE	MEAS	1	Unspecified	WADE	QUNSP		276.0	126	206	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	380	1996-03-07 13:30:00	EST	Yes	RLL	USGS	2.80	529.0	13.0	0.00	-2.20	GOOD	-0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		529.0	126	248	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	381	1996-04-26 07:50:00	EST	Yes	RLL	USGS	3.90	1130	13.0	0.00	0.900	GOOD	-0.02	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1130	136	462	2.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04111000	382	1996-06-07 08:40:00	EST	Yes	RLL	USGS	2.60	453.0	13.0	0.00	0.200	GOOD	0.06	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		453.0	122	199	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
