#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:31:27 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04116000 GRAND RIVER AT IONIA, MI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04116000	1	1949-01-24 13:30:00	EST	Yes	LGS/DP	USGS	11.70	2950				FAIR	0.01	1.83	CLER	UNSP	1		BRDS	QSCMM	VPAA	2950	229	1700	1.74	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	2	1949-02-23 13:07:30	EST	Yes	HA	USGS	15.66	5530				FAIR	-0.04	1.75	SICE	UNSP	1		BRUS	QSCMM	VPAA	5530	354	2700	2.05	UNSP	UNSP	EVEN	STDY	UNEV	UNSP	UNSP	
USGS	04116000	3	1949-02-25 11:15:00	EST	Yes	HA	USGS	15.09	5550				FAIR	0.00	2.00	SICE	UNSP	1		BRUS	QSCMM	VPAA	5550	345	2570	2.16	UNSP	UNSP	EVEN	STDY	UNEV	UNSP	UNSP	
USGS	04116000	4	1949-03-23 13:10:00	EST	Yes	JLS	USGS	8.64	1120				GOOD	-0.03	1.33	CLER	UNSP	1		BRDS	QSCMM	VPAA	1120	174	885	1.27	FIRM	CBLS	EVEN	STDY	EVEN	NSTD	UNSP	
USGS	04116000	5	1949-04-01 15:25:00	EST	Yes	DP	USGS	15.07	5990				FAIR	0.10	1.33	CLER	UNSP	1		BRDS	QSCMM	VPAA	5990	328	2410	2.48	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	6	1949-04-02 14:52:30	EST	Yes	DP	USGS	15.48	6190				FAIR	0.06	1.25	CLER	UNSP	1		BRDS	QSCMM	VPAA	6190	343	2560	2.42	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	7	1949-04-04 11:17:30	EST	Yes	HA	USGS	15.64	6160				GOOD	0.00	1.42	CLER	UNSP	1		BRDS	QSCMM	VPAA	6160	360	2610	2.36	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	8	1949-04-11 12:17:30	EST	Yes	HA	USGS	11.72	3020				FAIR	-0.11	1.42	CLER	UNSP	1		BRDS	QSCMM	VPAA	3020	230	1560	1.94	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	9	1949-05-09 13:50:00	EST	Yes	LGS	USGS	8.02	763				FAIR	-0.14	1.00	UNSP	UNSP	1		BRDS	QSCMM	VPAA	763	166	762	1.00	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	10	1949-06-13 12:50:00	EST	Yes	HA	USGS	6.74	220				GOOD	0.11	0.83	CLER	UNSP	1		WADE	QSCMM	VPAA	220	220	252	0.87	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	11	1949-07-11 13:15:00	EST	Yes	LGS	USGS	10.44	2290				GOOD	0.06	1.50	UNSP	UNSP	1		BRDS	QSCMM	VPAA	2290	199	1240	1.85	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	12	1949-08-26 15:37:30	EST	Yes	RLR/LGS	USGS	6.58	210				GOOD	0.07	1.08	MDDB	UNSP	1		WADE	QSCMM	VPAA	210	153	150	1.40	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	13	1949-09-12 14:30:00	EST	Yes	JLS	USGS	7.27	501				GOOD	0.22	1.00	MAMD	UNSP	1		WADE	QSCMM	VPAA	501	227	332	1.51	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	14	1949-10-03 11:45:00	EST	Yes	RLR	USGS	6.46	212				POOR	-0.03	0.83	CLER	UNSP	1		WADE	QSCMM	VPAA	212	144	151	1.40	UNSP	UNSP	EVEN	STDY	EVEN	NSTD	UNSP	
USGS	04116000	15	1949-10-31 11:40:00	EST	Yes	LGS	USGS	6.57	215				GOOD	0.00	0.67	CLER	UNSP	1		WADE	QSCMM	VPAA	215	160	149	1.44	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	16	1949-12-05 13:22:30	EST	Yes	LGS	USGS	7.95	813				GOOD	-0.02	1.25	CLER	UNSP	1		CWAY	QSCMM	VPAA	813	168	769	1.06	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	17	1950-01-25 14:55:00	EST	Yes	LGS	USGS	12.90	4080				GOOD	0.13	1.17	UNSP	UNSP	1		BRDS	QSCMM	VPAA	4080	244	1770	2.30	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	18	1950-02-09 17:20:00	EST	Yes	RLR	USGS	10.88	2660				GOOD	0.13	1.17	CLER	UNSP	1		BRDS	QSCMM	VPAA	2660	211	1280	2.08	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	19	1950-03-13 15:52:30	EST	Yes	LGS	USGS	17.43	7780				GOOD	-0.07	1.75	UNSP	UNSP	1		BRDS	QSCMM	VPAA	7780	358	3130	2.48	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	20	1950-03-31 14:17:30	EST	Yes	BUX	USGS	19.54	13400				GOOD	-0.06	1.58	UNSP	UNSP	1		BRDS	QSCMM	VPAA	13400	357	3910	3.44	UNSP	UNSP	EVEN	STDY	EVEN	STND	UNSP	
USGS	04116000	21	1950-04-06 14:12:30	EST	Yes	LGS	USGS	21.41	19500				GOOD	-0.02	1.75	UNSP	UNSP	1		BRDS	QSCMM	VPAA	19500	358	4800	4.06	UNSP	UNSP	EVEN	STDY	EVEN	NSTD	UNSP	
USGS	04116000	22	1950-04-07 15:00:00	EST	Yes	LGS	USGS	20.50	15900				GOOD	-0.08	1.50	UNSP	UNSP	1		BRDS	QSCMM	VPAA	15900	358	4540	3.50	UNSP	UNSP	EVEN	STDY	EVEN	NSTD	UNSP	
USGS	04116000	23	1950-04-10 17:02:30	EST	Yes	SBK	USGS	17.86	8600				GOOD	-0.04	1.08	CLER	UNSP	1		BRDS	QSCMM	VPAA	8600	358	3460	2.49	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	24	1950-06-01 11:02:30	EST	Yes	LGS	USGS	8.83	1230				FAIR	0.04	1.08	UNSP	UNSP	1		BRDS	QSCMM	VPAA	1230	182	1000	1.23	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	25	1950-06-16 11:17:30	EST	Yes	LGS	USGS	8.98	1180				GOOD	-0.10	1.08	UNSP	UNSP	1		BRDS	QSCMM	VPAA	1180	178	988	1.20	UNSP	UNSP	EVEN	STDY	EVEN	NSTD	UNSP	
USGS	04116000	26	1950-07-12 14:02:30	EST	Yes	LGS	USGS	7.68	629				GOOD	-0.02	0.75	CLER	UNSP	1		WADE	QSCMM	VPAA	629	268	363	1.73	UNSP	UNSP	EVEN	STDY	EVEN	STND	UNSP	
USGS	04116000	27	1950-08-14 10:30:00	EST	Yes	DHA/LGS	USGS	7.98	812				UNSP	-0.02	0.67	UNSP	UNSP	1		WADE	QSCMM	VPAA	812	260	455	1.78	UNSP	UNSP	EVEN	STDY	EVEN	STND	UNSP	
USGS	04116000	28	1950-10-03 13:00:00	EST	Yes	LGS	USGS	8.28	895				UNSP	-0.06	0.83	CLER	UNSP	1		WADE	QSCMM	VPAA	895	268	541	1.65	UNSP	UNSP	EVEN	STDY	EVEN	STND	UNSP	
USGS	04116000	29	1950-10-27 13:30:00	EST	Yes	LGS	USGS	8.07	828				GOOD	0.05	1.67	MDDB	UNSP	1		WADE	QSCMM	VPAA	828	265	470	1.76	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	30	1950-11-09 14:55:00	EST	Yes	RLR	USGS	7.82	738				POOR	-0.06	0.83	CLER	UNSP	1		WADE	QSCMM	VPAA	738	266	448	1.64	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	04116000	31	1950-12-15 09:00:00	EST	Yes	RLR	USGS	11.98	2760				POOR	0.06	1.33	UNSP	UNSP	1		BRDS	QSCMM	VPAA	2760	226	1590	1.74	UNSP	UNSP	EVEN	STDY	EVEN	UNSP	UNSP	
