#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:31:31 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04119400 GRAND RIVER NEAR EASTMANVILLE, MI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04119400	1	2011-04-29 11:27:00	EST	Yes	DAJ/DJO	USGS	16.36	18600	   1			GOOD	0.00	0.70	CLER	MEAS	1		MBOT	QADCP	VADCP	18600	599	6660	2.80	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	2	2011-05-03 11:32:00	EST	Yes	DAJ/DJO	USGS	16.75	20800	   1			GOOD	0.00	0.40	CLER	OTHR	1		MBOT	QADCP	VADCP	20800	615	7020	2.90	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	3	2011-05-09 16:35:00	EST	Yes	AKB/DAJ	USGS	12.56	9740	   1			GOOD	0.00	0.32	CLER	MEAS	1		MBOT	QADCP	VADCP	9740	511	4490	2.17	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	4	2011-05-10 10:00:00	EST	Yes	AKB/DJO	USGS	12.18	8740	   1			GOOD	0.01	0.48	CLER	MEAS	1		MBOT	QADCP	VADCP	8740	511	4300	2.03	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	5	2011-05-18 09:23:00	EST	Yes	DJO/RWH	USGS	12.82	10200	   1			GOOD	0.00	0.30	CLER	MEAS	1		MBOT	QADCP	VADCP	10200	508	4520	2.25	SOFT	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	6	2011-05-19 10:50:00	EST	Yes	DJO/RWH	USGS	12.97	10800	   1			GOOD	0.00	0.32	CLER	MEAS	1		MBOT	QADCP	VADCP	10800	516	4670	2.30	SOFT	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	7	2011-06-02 11:04:00	EST	Yes	DJO/RWH	USGS	15.11	16200	   1			GOOD	0.00	0.45	CLER	MEAS	1		MBOT	QADCP	VADCP	16200	525	5660	2.87	SOFT	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	8	2011-06-29 09:55:00	EST	Yes	DJO/JAG	USGS	10.84	4940	   1			GOOD	0.00	0.37	CLER	MEAS	1		MBOT	QADCP	VADCP	4940	512	3530	1.40	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
USGS	04119400	9	2011-07-26 11:34:00	EST	Yes	DJO/JAG	USGS	9.96	1930	   1			GOOD	0.00	0.48	CLER	MEAS	1		MBOT	QADCP	VADCP	1930	505	3120	0.62	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	1200.00
