#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:31:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03263000 Great Miami River at Taylorsville OH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03263000	13	1924-03-31		Yes	kc	USGS	69.84	12500		0.00		UNSP				MEAS	1	Unspecified	UNSP			12500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	14	1924-06-09		Yes	kc	USGS	72.40	25300		0.00		UNSP				MEAS	1	Unspecified	UNSP			25300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	29	1927-01-31		Yes	kc	USGS	67.82	7260		0.00		UNSP				MEAS	1	Unspecified	UNSP			7260				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	30	1927-03-21		Yes	kc	USGS	72.70	22200		0.00		UNSP				MEAS	1	Unspecified	UNSP			22200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	31	1927-03-23		Yes	kc	USGS	71.20	16500		0.00		UNSP				MEAS	1	Unspecified	UNSP			16500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	35	1927-12-02		Yes	kc	USGS	68.65	8210		0.00		UNSP				MEAS	1	Unspecified	UNSP			8210				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	36	1927-12-15		Yes	kc	USGS	69.76	10400		0.00		UNSP				MEAS	1	Unspecified	UNSP			10400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	44	1929-02-26		Yes	kc	USGS	72.70	21800		0.00		UNSP				MEAS	1	Unspecified	UNSP			21800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03263000	60	1933-03-21		Yes	kc	USGS	68.00	7380		0.00		UNSP				MEAS	1	Unspecified	UNSP			7380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
