#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:31:49 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03274000 Great Miami River at Hamilton OH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03274000	346	1958-06-12		Yes	MCD	USGS	62.18	40100	 1.0	0.00	2.00	GOOD	-0.11	1.80	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		40100	472	5850	70.5	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	356	1959-01-21		Yes	GS	USGS	79.49	108000	 2.0	0.00	0.00	UNSP				MEAS	1	Unspecified	OTHR	QIDIR		108000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	416	1963-03-06		Yes	MCD	USGS	73.30	58700	 4.0	0.00	3.00	FAIR	-0.07	1.10	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		58700	467	7750	7.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	662	1983-05-01		Yes	MCD	USGS	72.14	47400	16.0	0.00	-4.00	FAIR	-0.56	1.50	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		47400	450	6960	6.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	672	1984-08-01		Yes	MCD	USGS	57.17	755.0	16.0	0.00	-6.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		755.0	365	634	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	673	1984-10-01		Yes	MCD	USGS	57.09	732.0	16.0	0.00	-2.00	GOOD	0.00	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		732.0	356	618	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	674	1984-12-11		Yes	MCD	USGS	59.56	4140	16.0	0.00	-3.00	GOOD	-0.06	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4140	400	1540	2.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	675	1985-01-29		Yes	MCD	USGS	57.95	1580	16.0		-2.00	GOOD	0.00	1.00	SICE	MEAS	1	Unspecified	WADE	QUNSP		1580	371	921	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	676	1985-04-03		Yes	MCD	USGS	62.60	11.0	16.0	0.00	2.00	GOOD	-0.09	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		11.0	472	2950	3.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	677	1985-06-29		Yes	MCD	USGS	57.32	870.0	16.0	0.00	-6.00	GOOD	0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		870.0	359	687	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	707	1989-04-04		Yes	MCD	USGS	70.30	33000	20.0	0.00	3.00	UNSP	-0.18	1.20	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		33000	448	5430	6.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	709	1989-05-26		Yes	MCD	USGS	74.05	57300	20.0	0.00	0.00	FAIR	0.75	1.60	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		57300	464	7750	7.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	720	1990-08-01		Yes	MCD	USGS	63.28	2000	21.0	0.00	3.00	GOOD	0.00	1.10		MEAS	1	Unspecified	CRAN	QUNSP		2000	386	2230	0.900	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	721	1990-10-02		Yes	MCD	USGS	62.88	1110	21.0	0.00	2.00	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		1110	272	552	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	722	1990-11-30		Yes	MCD	USGS	63.50	2180	21.0	-0.120	0.00	GOOD	0.01	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2180	371	2180	1.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	723	1991-02-04		Yes	MCD	USGS	64.35	5200	21.0	0.00	5.00	GOOD			CLER	MEAS	1	Unspecified	CRAN	QUNSP		5200	388	2670	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	724	1991-04-02		Yes	MCD	USGS	64.02	4190	21.0	0.00	7.00	FAIR	0.00	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4190	386	2520	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	725	1991-06-04		Yes	MCD	USGS	63.60	2740	21.0	0.00	0.00	UNSP	0.00	0.80		MEAS	1	Unspecified	CRAN	QUNSP		2740	377	2270	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	726	1991-08-02		Yes	MCD	USGS	62.55	510.0	21.0	0.00	-3.00	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		510.0	273	445	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	727	1991-10-02		Yes	MCD	USGS	62.53	494.0	21.0	0.00	0.00	GOOD	-0.01	0.80		MEAS	1	Unspecified	WADE	QUNSP		494.0	270	417	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	728	1991-11-26 12:50:00	EST	Yes	MCD	USGS	62.54	502.0	21.0	0.00	1.00	GOOD	0.00	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		502.0	258	419	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	729	1992-02-03 11:15:00	EST	Yes	MCD	USGS	62.84	1030	21.0	0.00	2.00	GOOD	0.00	0.75	ALGA	MEAS	1	Unspecified	WADE	QUNSP		1030	294	606	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	730	1992-03-31		Yes	mcd	USGS	63.57	2620	21.0	0.00	-1.00	GOOD	-0.03	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2620	371	2250	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	731	1992-06-01 10:30:00	EDT	Yes	MCD	USGS	63.86	3390	21.0	0.00	-2.00	GOOD	0.01	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3390	376	2360	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	732	1992-07-18 12:45:00	EDT	Yes	CHT	USGS	68.59	24400	21.0	0.00	0.00	FAIR	0.01	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		24400	540	5870	4.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	733	1992-08-04 10:40:00	EDT	Yes	MCD	USGS	63.88	3530	21.0	0.00	1.00	GOOD	-0.02	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3530	382	2350	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	734	1992-10-01 11:10:00	EDT	Yes	MCD	USGS	62.75	768.0	21.0	-0.040	1.00	GOOD	0.00	0.70	ALGA	MEAS	1	Unspecified	WADE	QUNSP		768.0	271	523	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	735	1992-12-01 10:20:00	EST	Yes	MCD	USGS	63.75	3140	21.0	0.00	0.00	GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3140	359	2230	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	736	1993-02-01 10:40:00	EST	Yes	MCD	USGS	63.82	3270	21.0	0.00	-2.00	GOOD	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		3270	369	2340	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	737	1993-03-30 11:00:00	EST	Yes	HML	USGS	64.04	3910	21.0	0.00	-2.00	UNSP	0.00	1.80		MEAS	1	Unspecified	UNSP			3910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	738	1993-06-03 10:35:00	EDT	Yes	JBB/HML	USGS	63.33	2050	21.0	0.00	0.00	GOOD	-0.01	1.10	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2050	366	2130	0.962	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	739	1993-08-09 11:25:00	EDT	Yes	JBB/HML	USGS	62.91	1070	21.0	0.00	-6.00	GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		1070	266	638	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	740	1993-10-05 11:30:00	EDT	Yes	mcd	USGS	62.78	882.0	21.0	0.00	-2.00	GOOD	0.00	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		882.0	271	546	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	741	1993-11-30 11:20:00	EST	Yes	MCD	USGS	64.25	4600	21.0	0.00	-0.600	GOOD	-0.03	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4600	378	2500	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	742	1994-01-29 09:10:00	EST	Yes	MCD	USGS	70.00	34100	21.0	0.00	3.90	GOOD	-0.02	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		34100	620	6930	4.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	743	1994-03-30 10:20:00	EST	Yes	MCD	USGS	63.44	2320	21.0	0.00	0.00	GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2320	373	2230	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	744	1994-06-07 12:00:00	EDT	Yes	MCD	USGS	62.95	1080	21.0	-0.070	0.00	GOOD	0.00	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		1080	261	638	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	745	1994-08-09 11:25:00	EDT	Yes	MCD	USGS	62.68	707.0	21.0	0.00	-3.00	GOOD	-0.01	0.70	LGDB	MEAS	1	Unspecified	WADE	QUNSP		707.0	273	547	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	746	1994-10-10 12:30:00	EDT	Yes	MCD	USGS	62.59	544.0	21.0	0.00	-4.60	GOOD	-0.01	0.70	LGDB	MEAS	1	Unspecified	WADE	QUNSP		544.0	180	397	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	747	1994-12-13 11:30:00	EST	Yes	MCD	USGS	63.19	1620	22.0	0.00	-1.80	GOOD	-0.01	1.50	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1620	373	2160	0.750	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	748	1995-02-02 09:45:00	EST	Yes	MCD	USGS	63.02	1350	21.0	0.00	3.80	EXCL	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		1350	298	689	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	749	1995-03-31 10:35:00	EST	Yes	MCD	USGS	63.01	1260	22.0	0.00	-1.60	FAIR	-0.01	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		1260	309	729	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	750	1995-06-08 11:25:00	EDT	Yes	MCD	USGS	63.78	3130	22.0	0.00	1.60	FAIR	-0.05	3.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3130	290	2430	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	751	1995-08-07 11:05:00	EDT	Yes	MCD	USGS	65.57	8750	22.0	0.00	-3.70	GOOD	-0.25	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8750	400	3240	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	752	1995-10-03 11:15:00	EDT	Yes	MCD	USGS	62.80	856.0	22.0	0.00	-3.20	GOOD	0.00	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		856.0	286	547	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	754	1996-02-13 09:25:00	EST	Yes	MCD	USGS	63.68	2920	22.0	0.00	3.50	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		2920	393	2530	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	755	1996-04-18 09:45:00	EDT	Yes	MCD	USGS	63.66	2840	22.0	0.00	2.50	UNSP	1.50		CLER	MEAS	1	Unspecified	CRAN	QUNSP		2840	392	2490	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	756	1996-06-11 10:25:00	EDT	Yes	MCD	USGS	67.14	17000	22.0	0.00	3.70	GOOD	-0.12	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		17000	448	4670	3.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	757	1996-08-14 09:30:00	EDT	Yes	MCD	USGS	62.95	1190	22.0	0.00	2.60	GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		1190	307	715	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	758	1996-10-02 10:00:00	EDT	Yes	MCD/JPM	USGS	63.13	1530	22.0	0.00	0.700	GOOD	-0.01	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		1530	298	811	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	753	1996-12-05 09:55:00	EST	Yes	MCD	USGS	62.96	1190	22.0	0.00	0.800	GOOD	-0.01	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		1190	288	679	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	760	1997-02-11 09:55:00	EST	Yes	MCD	USGS	64.21	4760		0.00		GOOD	-0.01	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4760	397	2990	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	761	1997-04-19 10:30:00	EDT	Yes	MCD	USGS	63.64	2970		0.00		GOOD	-0.03	1.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2970	407	2830	1.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	762	1997-06-12 10:00:00	EDT	Yes	MCD	USGS	64.00	3890		0.00		GOOD	-0.01	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3890	396	2660	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	763	1997-08-05 10:40:00	EDT	Yes	AS	USGS	62.78	817.0	23.0	-0.030	1.00	GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		817.0	293	475	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	764	1997-10-03 10:35:00	EDT	Yes	MCD	USGS	62.60	495.0	23.0	-0.040	-1.60	POOR	0.00	2.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		495.0	273	516	0.959	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	765	1997-10-06 11:10:00	EDT	Yes	MCD	USGS	62.60	518.0	23.0	-0.040	3.00	GOOD	0.00	2.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		518.0	268	531	0.976	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	766	1997-11-26 09:45:00	EST	Yes	MCD	USGS	62.67	712.0	23.0	0.00	6.00	GOOD	-0.09	2.40		MEAS	1	Unspecified	WADE	QUNSP		712.0	276	596	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	767	1998-02-16 09:55:00	EST	Yes	MCD	USGS	63.41	2140	24.0	0.00	2.40	GOOD	0.00	1.00	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2140	397	2410	0.889	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03274000	768	1998-04-08 10:15:00	EDT	Yes	mcd	USGS	63.56	2420	24.0	0.00	-0.800	UNSP	0.03	1.60	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2420	394	2410	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
