#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:01 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03305000 GREEN RIVER NEAR MCKINNEY, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03305000	1	1951-11-20 10:25:00	EST	Yes	DDH	USGS	1.54	14.2				Excellent	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.2	40.0	23.7	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	2	1951-12-17 12:05:00	EST	Yes	GOM	USGS	1.89	38.8				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	38.8	43.0	34.0	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	3	1952-01-29 10:55:00	EST	Yes	LEC	USGS	2.28	92.6				Good	-0.01	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	92.6	46.0	38.7	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	4	1952-02-14 15:30:00	EST	Yes	DDH	USGS	1.79	29.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	29.9	40.5	32.7	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	5	1952-02-27 15:35:00	EST	Yes	DDH	USGS	1.55	15.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.0	40.0	23.8	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	6	1952-03-11 12:50:00	EST	Yes	GOM	USGS	3.42	306				Good	-0.13	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	306	51.0	135	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	7	1952-04-07 16:10:00	EST	Yes	JLC/JK	USGS	1.55	19.2				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.2	38.0	28.0	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	8	1952-05-12 15:00:00	EDT	Yes	GOM	USGS	1.76	29.2				Good	-0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	29.2	43.0	32.1	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	9	1952-06-17 15:50:00	EDT	Yes	TOS	USGS	1.12	0.52				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.52	7.20	1.23	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	10	1952-07-23 09:45:00	EDT	Yes	DDH	USGS	1.11	0.02				Poor	0.00	0.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.02	0.62	0.04	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	11	1952-12-08 12:15:00	EST	Yes	DJP	USGS	1.33	3.40				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.40	33.0	14.9	0.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	12	1953-01-20 08:00:00	EST	Yes	GWA	USGS	1.67	26.6				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	26.6	45.0	42.6	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	13	1953-02-25 11:20:00	EST	Yes	HBB/EJK	USGS	1.60	21.1				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.1	39.0	26.3	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	14	1953-04-06 16:00:00	EST	Yes	HBB	USGS	1.68	27.8				Good	0.11	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	27.8	40.0	29.9	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	15	1953-05-27 12:40:00	EDT	Yes	HBB	USGS	1.34	5.99				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.99	35.0	15.0	0.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	16	1953-07-03 13:40:00	EDT	Yes	ELW	USGS	1.15	0.52				Poor	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.52	10.2	3.55	0.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	17	1953-08-04 16:40:00	EDT	Yes	RLS	USGS	1.13	0.39				Fair	0.00	0.70	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.39	9.20	2.90	0.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	18	1954-01-14 14:30:00	EST	Yes	FAT	USGS	1.26	1.42				Fair	0.00	1.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.42	9.40	3.90	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	19	1954-01-20 09:30:00	EST	Yes	LEC/JAF	USGS	4.35	495				Fair	-0.43	1.20	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	495	56.0	229	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	20	1954-02-16 13:45:00	EST	Yes	FAT	USGS	1.29	3.54				Fair	0.02	1.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.54	31.5	13.0	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	21	1954-02-17 11:30:00	EST	Yes	FAT	USGS	1.30	3.59				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.59	26.0	11.7	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	22	1954-03-23 14:35:00	EST	Yes	FAT	USGS	1.39	8.34				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.34	29.0	17.3	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	23	1954-04-28 10:20:00	EDT	Yes	ELW	USGS	1.48	13.1				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.1	32.0	20.2	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	24	1954-05-07 16:05:00	EDT	Yes	DJP	USGS	2.85	171				Good	-0.05	0.70	Submerged	MEAS	1	Imported Channel 1	WADE	unspe	unkno	171	54.0	83.3	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	25	1954-06-08 10:20:00	EDT	Yes	FAT	USGS	1.19	1.17				Good	0.00	1.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.17	8.40	1.86	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03305000	26	1954-07-07 09:05:00	EDT	Yes	NG	USGS	1.14	0.46				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.46	3.50	0.59	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
