#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03306000 GREEN RIVER NEAR CAMPBELLSVILLE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03306000	1	1930-10-09 13:35:00	EST	Yes	Mit/Cro	USGS	1.02	4.90				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.90	21.5	9.65	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	2	1931-03-17 13:15:00	EST	Yes	LeM/Adm	USGS	2.28	304				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	304	148	252	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	3	1931-03-20 14:00:00	EST	Yes	FLL	USGS	2.10	221				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	221	147	225	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	4	1931-07-16 15:15:00	EDT	Yes	WDM	USGS	1.54	50.4				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	50.4	147	187	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	5	1931-09-25 17:25:00	EDT	Yes	WDM/Crs	USGS	1.22	19.1				Good	0.01	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.1	40.0	30.6	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	6	1932-01-16 11:15:00	EST	Yes	WDM	USGS	9.08	4840				Unspecified	0.08	1.50	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4840	155	1820	2.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	7	1932-02-04 13:40:00	EST	Yes	WDM/Hub	USGS	9.05	6200				Unspecified	0.02	1.30	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6200	156	1990	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	8	1961-03-01 09:05:00	EST	Yes	BRn	USGS	108.10	9570				Fair			Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9570	152	2520	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	9	1961-03-01 12:20:00	EST	Yes	BRn	USGS	107.92	9320				Unspecified			Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9320	152	2510	3.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	10	1961-03-02 09:10:00	EST	Yes	Whi	USGS	102.21	4390				Unspecified			Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4390	151	1780	2.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	11	1961-03-02 12:10:00	EST	Yes	Whi	USGS	101.43	3850				Unspecified			Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3850	152	1660	2.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306000	12	1961-03-03 08:40:00	EST	Yes	Whi	USGS	99.12	2260				Unspecified			Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2260	152	1280	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
