#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03306500 GREEN RIVER AT GREENSBURG, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03306500	1	1939-03-07 10:50:00	CST	Yes	McC	USGS	21.41	16900				Good	-0.35	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	16900	506	6370	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	2	1939-03-08 14:55:00	CST	Yes	REF	USGS	8.49	3480				Good	-0.04	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3480	258	1350	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	3	1939-03-31 09:30:00	CST	Yes	RWP	USGS	15.23	9140				Good	-0.05	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9140	370	3700	2.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	4	1939-06-27 11:30:00	CDT	Yes	RWP	USGS	2.32	277				Excellent	-0.03	1.90	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	277	146	223	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	5	1939-08-29 08:10:00	CDT	Yes	RWR	USGS	1.24	36.8				Good	0.01	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.8	64.0	40.7	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	6	1939-10-06 11:58:00	CST	Yes	REF/Voo	USGS	0.95	8.77				Good	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.77	57.0	14.1	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	7	1939-11-10 10:30:00	CST	Yes	RWR	USGS	1.03	13.9				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.9	38.0	18.7	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	8	1939-11-13 09:00:00	CST	Yes	REF	USGS	0.99	13.4				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.4	57.0	15.9	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03306500	9	1939-12-21 12:00:00	CST	Yes	LVP	USGS	1.17	28.2				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.2	44.0	37.5	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
