#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:05 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03308500 GREEN RIVER AT MUNFORDVILLE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03308500	1	1915-02-26 14:00:00	CST	Yes	ELw/SEl	USGS	4.02	961				Unspecified	-0.01	2.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	961	151	631	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	2	1915-03-15 08:45:00	CST	Yes	CEE	USGS	4.07	1010				Unspecified	-0.02	2.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1010	151	650	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	3	1916-04-28 12:30:00	CST	Yes	ASH	USGS	4.09	1100				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1100	147	633	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	4	1916-09-08 15:25:00	CST	Yes	BEJ/BSB	USGS	3.06	271				Unspecified	0.00	2.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	271	204	300	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	5	1917-01-24 12:45:00	CST	Yes	BEJ/LMS	USGS	34.65	29500				Unspecified	0.06	3.70	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	29500	1020	12000	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	6	1917-01-25 09:00:00	CST	Yes	BEJ/LMS	USGS	32.14	26600				Unspecified	-1.37	3.80	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	26600	508	8150	3.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	7	1917-01-25 16:15:00	CST	Yes	BEJ/LMS	USGS	29.51	21800				Unspecified	-0.67	1.20	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	21800	415	6950	3.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	8	1917-01-26 07:48:00	CST	Yes	BEJ/LMS	USGS	17.49	12100				Unspecified	-1.05	1.30	Submerged	STOR	1	Imported Channel 1	CRAN	unspe	unkno	12100	258	3440	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03308500	9	1917-01-26 09:20:00	CST	Yes	BEJ/LMS	USGS	16.07	10400				Unspecified	-1.56	2.20	Submerged	STOR	1	Imported Channel 1	CRAN	unspe	unkno	10400	241	3070	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
