#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03309000 GREEN RIVER AT MAMMOTH CAVE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03309000	11	1938-11-25 14:00:00	CST	Yes	Tir/Brc	USGS	2.85	912				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	912	220	1230	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	12	1938-11-26 11:10:00	CST	Yes	Tri/Brc	USGS	2.69	777				Unspecified	0.00	1.60		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	777	155	1410	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	13	1939-02-05 14:45:00	CST	Yes	Tri/Lyk	USGS	31.85	28000				Unspecified	0.10	1.30	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	28000	353	8470	3.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	14	1939-02-09 12:00:00	CST	Yes	Rnk/Brc	USGS	12.04	6900				Unspecified	0.06	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6900	242	3270	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	15	1939-02-13 10:00:00	CST	Yes	Tri/Rnk	USGS	23.64	20200				Unspecified	-0.05	1.30	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	20200	304	6480	3.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	16	1939-02-15 11:30:00	CST	Yes	Brc/Rnk	USGS	16.66	10800				Unspecified	0.00	1.00	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	10800	256	4480	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	17	1939-02-19 12:30:00	CST	Yes	Pia/Rnk	USGS	19.12	14500				Poor	-0.66	1.60	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	14500	269	5160	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	18	1939-02-21 08:55:00	CST	Yes	Lyk/Brc	USGS	16.82	12000				Poor	0.20	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	12000	262	4560	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	19	1939-02-23 12:00:00	CST	Yes	Lyk/Brc	USGS	14.67	9000				Fair	-0.35	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	9000	252	3930	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	20	1939-05-23 09:35:00	CDT	Yes	REF	USGS	3.46	1330				Good	-0.01	1.10		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1330	214	1320	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	21	1939-07-04 13:30:00	CDT	Yes	LVP	USGS	3.47	1180				Good	-0.07	1.40		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1180	232	1430	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	22	1939-08-11 15:50:00	CDT	Yes	REF	USGS	2.94	1000				Good	-0.03	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1000	220	1210	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	23	1939-09-13 09:20:00	CDT	Yes	RWP	USGS	1.42	206				Good	0.00	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	206	80.0	299	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	24	1939-09-30 16:27:00	CST	Yes	REF/JAH	USGS	1.54	285				Good	0.01	0.90		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	285	213	917	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	25	1939-11-11 07:30:00	CST	Yes	RWR	USGS	1.36	132				Poor	-0.04	1.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	132	153	1060	0.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	26	1939-12-20 09:00:00	CST	Yes	LVP	USGS	1.48	186				Good	0.02	2.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	186	162	896	0.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	27	1940-02-21 11:05:00	CST	Yes	JAR/AJR	USGS	14.94	10400				Good	-0.05	0.90	DebrisLight	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	10400	232	3720	2.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	28	1940-04-02 11:45:00	CST	Yes	RBV	USGS	23.33	20800				Good	0.10	1.30	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	20800	283	5950	3.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	29	1940-06-06 09:00:00	CDT	Yes	MIR	USGS	2.61	792				Good	0.01	1.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	792	193	1140	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	30	1940-08-27 10:20:00	CDT	Yes	AJR	USGS	1.35	154				Excellent	0.00	1.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	154	118	195	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	31	1940-08-27 11:55:00	CDT	Yes	ALR/St	USGS	1.35	154				Excellent	0.00	1.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	154	118	194	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	32	1940-09-28 12:30:00	CDT	Yes	RWP/RCR	USGS	1.32	147				Good	-0.01	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	147	114	173	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	33	1940-10-30 16:30:00	CST	Yes	REF/LHM	USGS	1.31	131				Good	0.00	1.00	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	131	124	164	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	34	1940-12-19 10:00:00	CST	Yes	HLH	USGS	3.13	1030				Fair	-0.03	2.10		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1030	184	1220	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	35	1941-01-29 15:10:00	CST	Yes	CFH	USGS	6.34	3100				Good	-0.06	1.70	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3100	200	1780	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	36	1941-03-11 09:10:00	CST	Yes	HCH/hlp	USGS	2.87	964				Good	0.00	1.60		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	964	191	1250	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	37	1941-04-23 16:00:00	CST	Yes	MIR	USGS	5.05	2210				Good	-0.04	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	2210	205	1650	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	38	1941-05-28 09:40:00	CDT	Yes	WJM	USGS	1.58	272				Good	0.00	1.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	272	127	254	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	39	1941-07-14 13:50:00	CDT	Yes	RWP/CPJ	USGS	3.53	1460				Good	-0.07	1.60		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1460	192	1370	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	40	1941-07-20 11:50:00	CDT	Yes	RBV	USGS	18.36	14200				Good	0.32	2.50	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	14200	245	4550	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	41	1941-07-20 16:15:00	CDT	Yes	RBV/Str	USGS	18.86	14900				Good	0.23	2.90	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	14900	247	4760	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	42	1941-07-22 10:20:00	CDT	Yes	RBV/Str	USGS	15.60	11300				Good	-0.46	1.70	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	11300	217	3830	2.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	43	1941-07-22 19:20:00	CDT	Yes	RBV/Str	USGS	12.66	8020				Good	-0.80	1.90	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	8020	211	3230	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	44	1941-08-06 15:15:00	CDT	Yes	WJM	USGS	1.75	406				Good	-0.01	1.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	406	129	296	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	45	1941-09-26 07:30:00	CDT	Yes	JEM/HW	USGS	1.22	128				Good	0.00	1.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	128	121	123	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	46	1941-10-15 08:35:00	CST	Yes	CBH	USGS	1.28	136				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	136	124	125	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	47	1941-11-27 14:00:00	CST	Yes	RBV	USGS	2.56	781				Good	-0.02	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	781	187	1160	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	48	1942-01-14 13:15:00	CST	Yes	CFH	USGS	2.78	836				Good	0.00	1.80	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	836	191	1090	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	49	1942-02-14 09:25:00	CDT	Yes	LVP	USGS	4.51	1860				Excellent	-0.04	1.80		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1860	195	1380	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	50	1942-02-19 15:30:00	CDT	Yes	ALR/LVP	USGS	16.57	12200				Excellent	-0.06	1.90	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	12200	242	4190	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	51	1942-02-20 13:45:00	CDT	Yes	CFH/LVP	USGS	13.45	9000				Excellent	-0.54	1.80	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	9000	221	3470	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	52	1942-02-21 09:50:00	CDT	Yes	CFH/LVP	USGS	8.89	5060				Excellent	-0.26	1.60		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	5060	202	2510	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	53	1942-03-21 09:15:00	CDT	Yes	LVP/PWH	USGS	7.62	4100				Good	0.00	1.60	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	4100	195	2150	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	54	1942-04-23 15:15:00	CDT	Yes	CFH	USGS	3.61	1380				Good	-0.03	1.80	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1380	191	1260	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	55	1942-05-19 10:35:00	CDT	Yes	CFH	USGS	2.24	514				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	514	188	970	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	56	1942-05-19 13:00:00	CDT	Yes	CFH	USGS	2.23	541				Good	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	541	188	952	0.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	57	1942-06-23 17:00:00	CDT	Yes	CFH/DRM	USGS	4.03	776				Poor	0.03	1.70	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	776	195	1280	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	58	1942-06-24 08:00:00	CDT	Yes	CFH/DRM	USGS	3.00	733				Good	-0.09	1.70	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	733	190	1130	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	59	1942-08-01 08:30:00	CDT	Yes	HFH	USGS	1.61	300				Good	-0.02	2.60	DebrisLight	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	300	193	990	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	60	1942-09-08 16:15:00	CDT	Yes	HCH	USGS	1.82	293				Good	-0.05	2.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	293	185	964	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	61	1942-10-09 11:00:00	CDT	Yes	HFH	USGS	1.62	223				Good	0.00	1.90		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	223	190	879	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	62	1942-11-15 14:40:00	CDT	Yes	CEL	USGS	3.65	1280				Good	-0.04	1.50		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1280	194	1240	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	63	1942-12-18 09:20:00	CDT	Yes	CFH	USGS	10.68	6650				Good	0.06	1.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	6650	200	2720	2.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	64	1943-01-02 11:05:00	CDT	Yes	CFH/HFH	USGS	37.73	40500				Poor	-0.10	1.70	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	40500	661	13300	3.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	65	1943-01-03 15:15:00	CDT	Yes	CFH	USGS	32.62	28700				Fair	-0.62	1.90	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	28700	365	9000	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	66	1943-01-25 08:30:00	CDT	Yes	HFH	USGS	3.47	1230				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1230	198	1350	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	67	1943-03-03 16:15:00	CDT	Yes	HFH	USGS	3.00	1020				Fair	0.00	1.40		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1020	195	1260	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	68	1943-04-25 13:10:00	CDT	Yes	PWH	USGS	16.01	12200				Good	-0.01	2.90	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	12200	230	4000	3.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	69	1943-06-04 07:30:00	CDT	Yes	HFH	USGS	4.11	1550				Fair	-0.04	2.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1550	187	1520	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	70	1943-07-24 09:45:00	CDT	Yes	PWH	USGS	2.10	538				Good	0.00	1.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	538	192	1020	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	71	1943-08-28 10:05:00	CDT	Yes	HFH	USGS	1.56	197				Good	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	197	121	181	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	72	1943-10-07 10:10:00	CDT	Yes	DDD/MIR	USGS	1.37	135				Good	-0.01	1.50	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	135	118	173	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	73	1943-11-12 10:30:00	CDT	Yes	DDD	USGS	1.57	202				Fair	0.00	1.30	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	202	109	188	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	74	1943-12-14 16:40:00	CDT	Yes	HFH	USGS	1.91	266				Poor	0.00	1.60	DebrisHeavy	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	266	185	1010	0.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	75	1944-01-21 11:30:00	CDT	Yes	DDD	USGS	2.52	817				Poor	0.00	3.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	817	170	1100	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	76	1944-02-23 09:15:00	CDT	Yes	CFH/ASC	USGS	9.83	5820				Good	0.48	2.10	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	5820	197	2570	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	77	1944-03-30 15:20:00	CDT	Yes	ASC	USGS	14.37	10200				Fair	0.12	2.00	Submerged	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	10200	220	3590	2.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	78	1944-05-04 09:00:00	CDT	Yes	MIR/JHK	USGS	3.72	1420				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1420	200	1220	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	79	1944-06-08 09:20:00	CDT	Yes	HFH	USGS	2.08	497				Fair	0.00	1.60	DebrisLight	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	497	190	1040	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	80	1944-07-12 11:35:00	CDT	Yes	CFH	USGS	1.51	199				Good	0.00	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	199	121	169	1.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	81	1944-08-22 15:25:00	CDT	Yes	MIR	USGS	2.07	437				Good	0.03	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	437	142	249	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	82	1944-10-05 09:20:00	CDT	Yes	HFH	USGS	2.38	704				Good	0.02	1.80		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	704	190	1100	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	83	1944-11-14 09:45:00	CDT	Yes	DWP/HFH	USGS	1.66	303				Good	0.00	1.50	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	303	134	218	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03309000	84	1944-12-19 15:10:00	CDT	Yes	ASC	USGS	2.58	804				Good	0.00	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	804	184	1230	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
