#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:10 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09211200 GREEN RIVER BELOW FONTENELLE RESERVOIR, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09211200	61	1967-06-08		Yes	Collins	USGS	15.01	7310				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		7310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	62	1967-07-11		Yes	Collins	USGS	15.92	9350				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9350				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	118	1972-06-14		Yes	Obert	USGS	17.65	14500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		14500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	119	1972-06-28		Yes	Glass	USGS	15.83	9130				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9130				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	204	1978-06-19		Yes	Herrett	USGS	15.75	8510				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		8510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	249	1981-10-07		Yes	PBM	USGS	11.02	636				Fair	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	636	230	410	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	250	1981-11-05		Yes	PBM	USGS	10.95	603				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	603	230	389	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	251	1981-12-18		Yes	DJO	USGS	11.06	681				Fair	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	681	216	477	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09211200	252	1982-02-01		Yes	PBM	USGS	11.09	735				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	735	230	421	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
