#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09328500 SAN RAFAEL RIVER NEAR GREEN RIVER, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09328500	1133	1980-10-08		Yes	JRT	USGS	6.74	71.1	23.0	-0.120	-2.20	GOOD	0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		71.1	41.0	43.5	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1134	1980-11-13		Yes	JRT	USGS	6.66	81.5	23.0	0.00	3.40	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		81.5	37.0	49.2	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1135	1981-01-28		Yes	MGH	USGS	6.09	45.8	23.0	0.360	-1.50	GOOD	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		45.8	33.0	38.2	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1136	1981-02-25		Yes	MGH/JRT	USGS	6.03	43.5	23.0	0.400	0.200	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		43.5	36.0	36.2	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1137	1981-03-11		Yes	MGH/JRT	USGS	6.02	44.6	23.0	0.430	-4.10	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		44.6	35.5	36.5	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1138	1981-03-25		Yes	MGH/JRT	USGS	5.96	39.7	23.0	0.430	6.40	FAIR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		39.7	35.0	33.9	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1139	1981-04-09		Yes	GAB/JRT	USGS	5.97	39.5	23.0	0.430	1.80	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		39.5	45.0	40.2	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1140	1981-04-29		Yes	JCM/JRT	USGS	5.33	17.9	24.0	0.020	4.10	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		17.9	38.0	22.3	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1141	1981-05-17		Yes	JRT	USGS	5.40	16.3	24.0	-0.050	-5.20	GOOD	0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		16.3	39.0	22.4	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1142	1981-06-03		Yes	JRT	USGS	5.58	32.6	24.0	0.00	3.50	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		32.6	38.0	31.6	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09328500	1143	1981-07-08		Yes	JRT	USGS	5.31	14.4	24.0	0.00	-5.30	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.4	36.0	20.1	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
