#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:23 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09328920 GREEN RIVER AT MINERAL BOTTOM NR CYNLNDS NTL PARK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09328920	1	2014-03-14 11:30:20	MDT	Yes	tcl/cdw	USGS	6.90	2720	 1.0		2.6	GOOD	0.00	0.50	CLER	MEAS	1	Main Channel	MBOT	QADCP	VADCP	2720	374	1270	2.15	SOFT	SILT	EVEN	STND	EVEN	STDY	UPST	150.00
USGS	09328920	2	2014-04-28 14:01:18	MDT	Yes	cdw/tcl	USGS	12.69	11400	 1.0		0.0	FAIR	0.00	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	11400	397	3330	3.43	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	3	2014-06-10 10:59:49	MDT	Yes	cdw	USGS	16.45	19900	 1.0		0.0	FAIR	0.05	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	19900	451	5050	3.94	SOFT	SAND	EVEN	UNFM	UNSP	STDY	UPST	500.00
USGS	09328920	4	2014-07-28 12:01:09	MDT	Yes	tcl/cdw	USGS	7.12	3070	 1.0		7.7	FAIR	0.00	0.38	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3070	394	1460	2.10	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	5	2014-09-24 11:13:54	MDT	Yes	cdw/TCL	USGS	7.76	3430	 1.0		-0.6	FAIR	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3430	356	1400	2.45	SOFT	SILT	UNEV	STND	EVEN	STDY	DNST	300.00
USGS	09328920	6	2014-11-06 10:47:45	MST	Yes	TCL/cdw	USGS	7.70	3320	 1.0		-2.4	GOOD	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3320	394	1530	2.17	FIRM	SAND	EVEN	STND	UNSP	STDY	UNSP	300.00
USGS	09328920	7	2014-12-10 10:33:08	MST	Yes	cdw/tcl	USGS	7.59	3130	 1.0		-4.9	GOOD	0.00	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3130	397	1440	2.18	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	8	2015-01-29 11:06:50	MST	Yes	tcl/cdw	USGS	7.93	3500	2.00		-2.8	GOOD	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3500	398	1700	2.06	SOFT	SAND	EVEN	STND	UNSP	STDY	UPST	300.00
USGS	09328920	9	2015-03-20 10:41:58	MDT	Yes	tcl/cdw	USGS	7.79	3500	2.00		0.9	GOOD	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3500	400	1620	2.17	FIRM	SILT	EVEN	STND	EVEN	STDY	UPST	200.00
USGS	09328920	10	2015-05-13 11:01:03	MDT	Yes	tcl/CDW	USGS	13.41	11600				GOOD	0.00	0.33	UNSP	MEAS	1	main	MBOT	QADCP	VADCP	11600	325	3270	3.54	SOFT	SAND	EVEN	STND	EVEN	STDY	DNST	500.00
USGS	09328920	11	2015-05-13 11:53:05	MDT	Yes	tcl/CDW	USGS	13.41	11000				GOOD	0.00	0.25	UNSP	MEAS	1	main_check	MBOT	QADCP	VADCP	11000	404	3840	2.86	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	12	2015-06-24 10:00:17	MDT	Yes	cdw/jma	USGS	11.57	8600	2.00		3.9	GOOD	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	8600	396	3000	2.87	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	400.00
USGS	09328920	13	2015-08-06 09:35:30	MDT	Yes	tcl/llr	USGS	7.26	2900	2.00		-2.4	GOOD	-0.01	0.25	CLER	MEAS	1	main	MBOT	QADCP	VADCP	2900	391	1320	2.20	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	200.00
USGS	09328920	14	2015-09-11 10:26:33	MDT	Yes	cdw/tcl	USGS	6.48	2160	2.00	-0.22	0.0	GOOD	0.00	0.25	CLER	MEAS	1	main	MBOT	QADCP	VADCP	2160	384	1050	2.06	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	250.00
USGS	09328920	15	2015-10-27 10:29:50	MDT	Yes	tcl	USGS	7.59	3470	2.00	0.20	0.0	GOOD	-0.01	0.27	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3470	400	1470	2.35	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	200.00
USGS	09328920	16	2015-12-04 10:21:55	MST	Yes	cdw	USGS	7.43	3100	2.00	0.00	-1.0	GOOD	-0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3100	405	1440	2.15	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	400.00
USGS	09328920	17	2016-02-23 10:56:36	MST	Yes	tcl/cdw	USGS	9.26	5010	2.00	0.00	-0.4	FAIR	0.00	0.25	CLER	MEAS	1	main	MBOT	QADCP	VADCP	5010	400	2200	2.28	SOFT	GRVL	EVEN	STND	EVEN	STDY	UPST	200.00
USGS	09328920	18	2016-04-06 10:30:59	MDT	Yes	cdw/tcl	USGS	7.28	2940	2.00	0.00	-1.7	GOOD	0.00	0.33		MEAS	1	main	MBOT	QADCP	VADCP	2940	193	1170	2.52	FIRM	GRVL	EVEN	STND	UNSP	STDY	UPST	500.00
USGS	09328920	19	2016-05-13 11:28:00	MDT	Yes	tcl/cdw	USGS	14.68	14900	2.00	0.00	2.8	GOOD	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	14900	605	4690	3.17	SOFT	SILT	UNEV	STND	EVEN	STDY	UPST	3000.00
USGS	09328920	20	2016-06-16 10:16:31	MDT	Yes	JMA/CDW	USGS	17.65	23600	 3.0		-0.8	GOOD	0.01	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	23600	606	5990	3.94	SOFT	SAND	UNEV	STND	EVEN	STDY	UPST	3000.00
USGS	09328920	21	2016-06-16 11:13:06	MDT	Yes	JMA/CDW	USGS	17.63	24100	 3.0	0.00	1.7	GOOD	0.00	0.30	CLER	MEAS	1	Main	MBOT	QADCP	VADCP	24100	606	6000	4.02	SOFT	SAND	UNEV	UNFM	UNSP	STDY	UPST	3000.00
USGS	09328920	22	2016-07-27 10:54:18	MDT	Yes	cdw/llr	USGS	7.07	2480	 3.0	-0.37	0.0	FAIR	0.00	0.40	FILL	MEAS	1	main	MBOT	QADCP	VADCP	2480	349	1110	2.25	FIRM	SAND	UNEV	STND	UNEV	STDY	UPST	300.00
USGS	09328920	23	2016-09-13 11:11:56	MDT	Yes	CDW/llr	USGS	6.33	2010	 3.0	-0.26	0.0	GOOD	0.00	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	2010	390	1030	1.95	SOFT	SAND	UNEV	STND	UNEV	STDY	UPST	300.00
USGS	09328920	24	2016-10-13 11:04:00	MDT	Yes	CDW/llr	USGS	7.04	2730	 3.0	0.00	-1.1	GOOD	0.00	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	2730	208	1200	2.27	SOFT	SAND	EVEN	STND	UNEV	STDY	DNST	1000.00
USGS	09328920	25	2016-10-13 12:22:12	MDT	Yes	CDW/llr	USGS	7.04	2790	 3.0	0.00	1.1	GOOD	0.00	0.40	CLER	MEAS	1	main_chk	MBOT	QADCP	VADCP	2790	399	1330	2.10	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	250.00
USGS	09328920	26	2016-11-30 11:12:39	MST	Yes	cdw/llr	USGS	7.07	2780	 3.0	0.00	0.0	GOOD	0.00	0.40	CLER	MEAS	1	main	MBOT	QADCP	VADCP	2780	391	1330	2.09	FIRM	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	27	2017-01-26 11:39:31	MST	Yes	cdw/jes	USGS	7.69	3390	 3.0		1.5	GOOD	0.00	0.25	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3390	396	1510	2.24	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	28	2017-02-02 11:07:23	MST	Yes	cdw/llr	USGS	7.04	2770	 3.0		0.4	GOOD	0.00	0.30	CLER	MEAS	1	main_riverray	MBOT	QADCP	VADCP	2770	393	1300	2.13	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	300.00
USGS	09328920	29	2017-02-02 12:17:26	MST	Yes	cdw/llr	USGS	7.04	2670	 3.0		-3.3	GOOD	0.00	0.50	CLER	MEAS	1	main_RiverPro_chk	MBOT	QADCP	VADCP	2670	391	1310	2.04	SOFT	SAND	EVEN	STND	EVEN	STDY	UPST	350.00
