#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:29 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12113000 GREEN RIVER NEAR AUBURN, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12113000	63	1941-12-19		Yes	WH	USGS	62.40	9390				Excellent				UNSP	1	Imported Channel 1	UNSP	other		9390				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	72	1942-11-24		Yes	MMM	USGS	61.59	7970				Good				UNSP	1	Imported Channel 1	UNSP	other		7970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	81	1943-12-04		Yes	T&C	USGS	60.80	6720				Good				UNSP	1	Imported Channel 1	UNSP	other		6720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	92	1945-01-07		Yes	H&C	USGS	63.29	10500				Good				UNSP	1	Imported Channel 1	UNSP	other		10500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	95	1945-04-24		Yes	DO	USGS	60.14	6150				Good				UNSP	1	Imported Channel 1	UNSP	other		6150				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	101	1945-12-30		Yes	WDS	USGS	60.28	6100				Good				UNSP	1	Imported Channel 1	UNSP	other		6100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	110	1946-12-11		Yes	WH	USGS	67.32	19700				Good				UNSP	1	Imported Channel 1	UNSP	other		19700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	143	1950-03-06		Yes	JS	USGS	60.34	6470				Good				UNSP	1	Imported Channel 1	UNSP	other		6470				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12113000	155	1951-02-10		Yes	EGP	USGS	66.09	15900				Good				UNSP	1	Imported Channel 1	UNSP	other		15900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
