#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12113344 GREEN RIVER AT 200TH STREET AT KENT, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12113344	1	2012-01-06 13:37:00	PST	Yes	PHL	USGS	18.01	2400				Good	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	2400	90.0	896	2.68	FIRM	GRVL	UNEV	unkn	EVEN	UNFM	DNST	70.00
USGS	12113344	2	2012-01-09 13:37:30	PST	Yes	PHL	USGS	15.78	1690				Good	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	1690	80.0	706	2.39	FIRM	GRVL	UNEV	unkn	UNEV	UNFM	ATGA	
USGS	12113344	3	2012-01-12 13:01:30	PST	Yes	PHL	USGS	14.67	1310				Good	-0.04	1.40	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	1310	76.0	624	2.10	FIRM	GRVL	UNEV	unkn	UNEV	UNFM	ATGA	
USGS	12113344	4	2012-02-23 11:49:30	PST	Yes	PHL/FMR	USGS	30.78	8020				Poor	0.03	1.60	DebrisLight	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	8020	183	2740	2.93	FIRM	GRVL	EVEN	unkn	EVEN	NSTD	ATGA	
USGS	12113344	5	2012-02-23 15:03:00	PST	Yes	PHL/FMR	USGS	30.82	8510				Poor	0.01	1.60	DebrisLight	MEAS	1	Imported Channel 1	BRDS	QSCMM	VPAA	8510	174	2730	3.12	FIRM	GRVL	UNEV	unkn	UNEV	NSTD	DNST	70.00
USGS	12113344	6	2012-02-27 11:35:00	PST	Yes	PHL	USGS	22.09	4120				Fair	-0.14	1.50	DebrisLight	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	4120	102	1380	2.99	FIRM	GRVL	UNEV	unkn	UNEV	NSTD	ATGA	
USGS	12113344	7	2012-02-27 13:56:00	PST	Yes	PHL	USGS	21.90	3950				Fair	-0.05	1.00	DebrisLight	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	3950	103	1350	2.93	FIRM	GRVL	UNEV	unkn	UNEV	NSTD	ATGA	
USGS	12113344	8	2012-04-04 15:18:30	PDT	Yes	PHL	USGS	16.91	2040				Good	-0.01	1.70	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	2040	84.0	928	2.20	FIRM	GRVL	EVEN	unkn	UNEV	NSTD	ATGA	
USGS	12113344	9	2012-06-11 14:53:30	PDT	Yes	PHL	USGS	16.45	1840				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	1840	83.0	804	2.29	FIRM	GRVL	EVEN	unkn	EVEN	STND	ATGA	
