#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:49 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03432350 HARPETH RIVER AT FRANKLIN, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03432350	38	1975-02-04 12:00:00	CST	Yes	CSB/JK	USGS	17.55	4620				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		4620				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	42	1975-03-13 12:00:00	CDT	Yes	K/B	USGS	33.64	20000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		20000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	43	1975-03-14 12:00:00	CDT	Yes	CSG/RP	USGS	27.92	11300				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		11300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	65	1977-03-04 12:00:00	CST	Yes	JK	USGS	24.20	8520				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	81	1979-05-04 12:00:00	CDT	Yes	AND	USGS	25.87	9770				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		9770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	106	1982-03-16 12:00:00	CST	Yes	Ham	USGS	7.95	950				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		950				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	120	1983-09-14		Yes	JTH	USGS	1.89	1.07				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.07	17.0	4.21	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	121	1983-10-11		Yes	DWT	USGS	2.01	2.35				Fair	0.00	0.40	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.35	11.0	2.01	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	122	1983-11-14		Yes	DWT	USGS	2.24	9.11				Fair	-0.02	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.11	20.0	14.4	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	123	1984-01-24		Yes	JTH	USGS	7.24	912				Fair	-0.09	1.10	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	912	86.0	383	2.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	124	1984-02-29		Yes	JTH/AKB	USGS	4.48	250				Good	0.00	0.70	Unspecifed	MEAS	1	Imported Channel 1	WADE	unspe	unkno	250	62.0	144	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	125	1984-03-30		Yes	JTH	USGS	8.50	1210				Good	-0.11	1.30	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1210	94.0	479	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	126	1984-05-07		Yes	JWA/MEL	USGS	28.78	12100				Good	0.46	1.50	Unspecifed	STOR	1	Imported Channel 1	CRAN	unspe	unkno	12100	186	3420	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	127	1984-05-22		Yes	JTH	USGS	3.81	153				Good	0.00	0.30	Unspecifed	MEAS	1	Imported Channel 1	WADE	unspe	unkno	153	54.0	94.6	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	128	1984-06-20		Yes	JTH/MEL	USGS	2.21	16.7				Good	0.00	0.40	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.7	44.0	25.5	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	129	1984-08-24		Yes	AKB	USGS	2.23	18.0				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.0	45.0	29.6	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	130	1984-10-10		Yes	AKB	USGS	1.89	2.10				Fair	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.10	34.0	8.93	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	131	1984-11-08		Yes	JFK	USGS	3.84	170				Good	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	170	54.0	99.1	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03432350	132	1984-12-17		Yes	JLE	USGS	3.30	93.8				Fair	-0.02	1.20	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	93.8	51.0	119	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
