#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03433500 HARPETH RIVER AT BELLEVUE, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03433500	1	1920-04-04		Yes	WRK/WAN	USGS	6.76	3680				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3680				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	2	1920-04-11		Yes	WRK	USGS	1.98	584				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		584				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	3	1920-04-21		Yes	WRK/WAN	USGS	10.40	6590				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		6590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	4	1920-05-08		Yes	WRK	USGS	1.59	334				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		334				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	5	1920-08-31		Yes	WRK	USGS	1.14	176				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		176				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	6	1920-10-24		Yes	WRK	USGS	0.42	18.1				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	18.1	48.0	20.4	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	7	1920-12-14		Yes	R.W	USGS	3.32	1070				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1070	92.0	565	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	8	1921-04-01		Yes	R.W	USGS	3.35	1310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1310	95.0	510	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03433500	9	1921-07-15		Yes	WRK	USGS	0.17	10.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10.3	39.0	60.6	0.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
