#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:32:56 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03434500 HARPETH RIVER NEAR KINGSTON SPRINGS, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03434500	1	1925-07-08		Yes	EHM	USGS	1.12	68.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	68.7	52.0	38.0	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	2	1925-09-12		Yes	EHM	USGS	1.17	84.1				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	84.1	56.0	44.6	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	3	1925-11-21		Yes	EHM	USGS	1.97	333				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	333	73.0	96.6	3.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	4	1925-12-31		Yes	JPC	USGS	1.50	250				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	5	1926-01-07		Yes	EHM	USGS	1.52	199				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	199	47.0	57.4	3.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	6	1926-01-19		Yes	EHM	USGS	3.99	1420				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	7	1926-01-19		Yes	EHM	USGS	3.90	1380				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	8	1926-01-22		Yes	EHM	USGS	11.13	8970				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03434500	9	1926-01-23		Yes	EHM	USGS	6.18	3340				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3340				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
