#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:33:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02302010 HILLSBOROUGH R BL CRYSTAL SPR NEAR ZEPHYRHILLS FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02302010	1	1933-01-06		Yes	va	USGS		57.4				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	57.4	42.0	166	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	2	1933-02-17		Yes	usgs	USGS		53.0				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	53.0	41.5	176	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	3	1934-01-15		Yes	usgs	USGS		68.1				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	68.1	42.0	159	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	4	1934-10-25		Yes	hat	USGS		57.7				Poor			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	57.7	80.0	106	0.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	5	1935-01-21		Yes	jwk	USGS		72.7				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	72.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	6	1935-02-08		Yes	jwk	USGS		72.6				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	72.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	7	1935-03-18		Yes	jwk	USGS		67.2				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	67.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	8	1935-04-09		Yes	jwk	USGS		63.8				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	63.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02302010	9	1935-04-11		Yes	jwk	USGS		64.6				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	64.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
