#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:33:22 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02304510 HILLSBOROUGH RIVER AT ROWLETT PK DR NEAR TAMPA FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02304510	1	2003-06-27 16:00:00	EDT	Yes	RJD	USGS	14.59	1790				Good	-0.14	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1790	119	980	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	2A	2003-07-30 10:33:00	EDT	Yes	ldw/jlb	USGS	2.21	916				Good	0.04	0.70	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	916	110	673	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	2	2003-07-30 10:33:00	EDT	Yes	LDW	USGS	2.21	916				Good	0.04	0.70	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	916	110	672	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	3	2003-07-30 11:30:00	EDT	Yes	LDW	USGS	12.21	923				Good	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	923	110	688	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	4	2003-07-30 13:30:00	EDT	Yes	LDW	USGS	12.50	889				Good	0.40	0.60	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	889	110	722	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	5	2003-07-30 14:30:00	EDT	Yes	LDW	USGS	12.95	934				Good	0.12	0.50	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	934	112	782	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	6	2003-07-31 10:00:00	EDT	Yes	LDW	USGS	13.13	1790				Good	0.67	0.60	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1790	113	806	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	7	2003-07-31 11:00:00	EDT	Yes	LDW	USGS	13.92	1940				Good	0.07	0.50	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1940	115	882	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	8	2003-07-31 12:00:00	EDT	Yes	LDW	USGS	13.99	1970				Good	-0.04	0.60	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1970	116	897	2.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	9	2003-07-31 14:45:00	EDT	Yes	LDW	USGS	12.08	574				Good	0.36	0.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	574	108	679	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	10	2003-07-31 15:45:00	EDT	Yes	LDW	USGS	12.54	608				Good	0.05	0.50	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	608	109	700	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02304510	11	2004-01-23 11:45:00	EST	Yes	mrd/dlf	USGS	-1.08	126				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	126	86.0	403	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
