#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:33:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01197500 HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01197500	111	1936-03-13		Yes	.	USGS	8.96	6120				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		6120				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	113D	1936-03-19		Yes	.	USGS	10.60	9300				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		9300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	140	1938-09-21		Yes	.	USGS	8.54	4970				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		4970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	141D	1938-09-22		Yes	.	USGS	11.72	11000				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		11000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	141E	1938-09-22		Yes	.	USGS	11.72	10700				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		10700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	141C	1938-09-22		Yes	.	USGS	11.72	13200				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		13200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	149	1939-04-20		Yes	.	USGS	9.04	5260				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		5260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	246D	1949-01-01		Yes	.	USGS	12.08	12200				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		12200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	246E	1949-01-01		Yes	.	USGS	12.08	11700				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		11700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	284	1952-04-07		Yes	.	USGS	7.53	3370				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3370				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	328	1956-04-19		Yes	.	USGS	7.34	3330				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3330				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	365	1960-04-06		Yes	.	USGS	9.38	6310				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		6310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	448	1969-04-23		Yes	.	USGS	7.91	3850				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3850				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	476	1972-04-21		Yes	.	USGS	7.58	3660				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3660				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	510	1977-03-17		Yes	.	USGS	7.52	3680				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3680				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	551	1983-04-25		Yes	.	USGS	7.19	4040				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		4040				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	558	1984-02-17		Yes	.	USGS	6.65	3220				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3220				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	561	1984-05-31		Yes	.	USGS	10.87	10100				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10100			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	563	1984-10-05		Yes	RJG	USGS	2.73	256				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	256	124	279	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	564	1984-11-30		Yes	BCS	USGS	2.97	358				Good	-0.01	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	358	105	582	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	565	1985-01-24		Yes	EEG	USGS	2.63	200				Good	0.00	0.60	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	200	116	144	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	566	1985-03-07		Yes	BCS	USGS	3.07	409				Good	-0.02	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	409	128	582	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	567	1985-03-18		Yes	DJK	USGS	3.62	796				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	796	140	699	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	568	1985-05-28		Yes	BCS	USGS	2.41	157				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	157	118	134	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	569	1985-08-05		Yes	BCS	USGS	2.42	151				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	151	124	131	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	570	1985-09-19		Yes	BCS	USGS	2.18	113				Fair	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	113	84.0	188	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	571	1985-11-01		Yes	TMC	USGS	2.67	227				Fair	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	227	90.0	196	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	572	1985-12-26		Yes	TMC	USGS	3.52	300				Good	0.16	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	300	90.0	218	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	573	1986-02-24		Yes	TMC	USGS	3.34	598				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		598				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01197500	574	1986-04-30		Yes	TMC	USGS	2.92	385				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	385	92.0	222	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
