#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:33:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01198125 HOUSATONIC RIVER NEAR ASHLEY FALLS, MA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01198125	1	1992-03-30 11:00:00	EST	Yes	T?C	USGS	4.22	1260				Good	0.05	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1260	122	797	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	2	1992-05-06 09:05:00	EDT	Yes	TMC	USGS	6.11	2070				Good	-1.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2070	125	1020	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	3	1992-07-16 10:20:00	EDT	Yes	TMC	USGS	1.91	499				Good	0.02	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	499	109	520	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	4	1992-07-28 09:54:00	EDT	Yes	C?S	USGS		254				Fair	0.00	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	254	88.0	381	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	5	1992-10-08 10:15:00	EDT	Yes	TMC	USGS	0.37	185				Good	-0.03	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	185	105	368	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	6	1993-01-06 12:45:00	EST	Yes	TMC/MPS	USGS	8.94	3320				Good	0.08	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3320	135	1400	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	7	1993-03-31 14:00:00	EST	Yes	TMC	USGS	13.43	7100				Good	0.00	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7100	174	2130	3.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	8	1993-07-29 09:45:00	EDT	Yes	TMC	USGS	0.55	193				Good	-0.03	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	193	108	586	0.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	9	1993-09-16 12:45:00	EDT	Yes	TMC	USGS	0.24	140				Good	0.02	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	140	75.0	129	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	10	1993-12-10 10:30:00	EST	Yes	TMC	USGS	4.61	1400				Good	-0.02	1.40	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1400	123	1060	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	11	1994-03-25 09:30:00	EST	Yes	GCB	USGS	7.77	2710				Good	0.02	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2710	135	1500	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	12	1994-03-31 12:57:00	EST	Yes	tmc/bd	USGS	8.04	2960				Good	-0.02	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2960	132	1530	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	13	1994-04-08 13:05:00	EDT	Yes	GCB/GL	USGS	11.06	4760				Good	0.06	2.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4760	168	1970	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	14	1994-05-26 13:15:00	EDT	Yes	TMC	USGS	2.97	831				Unspecified	0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	831	114	806	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	15	1994-07-22 11:50:00	EDT	Yes	GCB	USGS	1.05	287				Good	-0.02	2.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	287	117	583	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	16	1994-08-24 13:00:00	EDT	Yes	GCB/LB	USGS	3.57	1000				Fair	-0.10	2.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1000	128	892	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	17	1994-09-08 11:00:00	EDT	Yes	GCB	USGS	0.60	181				Good	0.00	2.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	181	104	187	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	18	1994-09-15 17:03:00	EDT	Yes	GCB	USGS	0.57	180				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	180	104	188	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	19	1994-09-22 13:47:00	EDT	Yes	GCB	USGS	0.40	151				Good	-0.01	1.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	151	101	170	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	20	1994-10-07 15:06:00	EDT	Yes	GCB	USGS	1.60	398				Fair	0.00	2.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	398	118	648	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	21	1994-10-19 14:45:00	EDT	Yes	GCB	USGS	1.14	273				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	273	116	258	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	22	1994-11-18 13:45:00	EST	Yes	gcb/ksk	USGS	1.14	272				Good	0.00	2.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	272	115	257	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	23	1994-12-12 13:20:00	EST	Yes	GCB	USGS	4.53	1330				Fair	-0.04	2.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1330	135	1010	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	24	1995-02-22 13:58:00	EST	Yes	gcb	USGS	2.19	553				Poor	0.00	2.30	IceShore	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	553	118	717	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	25	1995-03-14 14:30:00	EST	Yes	gcb/pcm	USGS	6.10	1890				Fair	0.00	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1890	139	1250	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	26	1995-04-27 16:40:00	EDT	Yes	GCB/PCM	USGS	2.53	666				Fair	-0.01	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	666	127	775	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	27	1995-06-14 15:05:00	EDT	Yes	GCB/DMP	USGS	1.29	331				Fair	-0.01	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	331	117	636	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01198125	28	1995-06-21 14:40:00	EDT	Yes	GCB	USGS	0.63	184				Good	-0.01	0.90	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	184	117	233	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
