#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:33:51 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01312000 HUDSON RIVER NEAR NEWCOMB NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01312000	1	1925-09-14		Yes	X	USGS	2.85	456				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	456	71.5	176	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	2	1925-11-16		Yes	X	USGS	4.17	1300				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1300	72.0	274	4.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	3	1926-01-17		Yes	X	USGS	1.93	130				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	130	65.0	108	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	4	1926-03-15		Yes	X	USGS	1.80	98.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	98.7	65.0	102	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	5	1926-04-25		Yes	-	USGS	6.57	3900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	6	1926-04-26		Yes	-	USGS	7.09	4680				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4680				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	7	1926-04-26		Yes	-	USGS	7.05	4550				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	8	1926-05-11		Yes	X	USGS	4.18	1330				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1330	73.0	275	4.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01312000	9	1926-06-05		Yes	X	USGS	3.08	590				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	590	71.0	192	3.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
