#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:33:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01315500 HUDSON RIVER AT NORTH CREEK NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01315500	1	1907-08-29		Yes	X	USGS	2.91	788				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	788	235	547		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	2	1907-08-31		Yes	X	USGS	2.90	716				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	716	235	502		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	3	1907-09-20		Yes	X	USGS	2.71	618				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	618	237	506		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	4	1907-09-21		Yes	X	USGS	2.55	512				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	512	236	462		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	5	1907-10-01		Yes	X	USGS	4.09	2380				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	2380	250	834		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	6	1907-10-24		Yes	X	USGS	2.96	890				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	890	239	547		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	7	1907-11-12		Yes	X	USGS	4.52	3290				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	3290	250	937		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	8	1907-11-16		Yes	X	USGS	3.43	1560				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	1560	143	673		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	9	1908-01-22		Yes	X	USGS	2.99	810				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	810	240	523		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	10	1908-07-07		Yes	X	USGS	3.06	990				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	990	243	576		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	11	1908-08-07		Yes	X	USGS	2.87	775				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	775	241	534		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	12	1908-09-18		Yes	X	USGS	2.54	469				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	469	236	453		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01315500	13	1909-01-01		Yes	X	USGS	2.89	419				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	419	215	427	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
