#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01331095 HUDSON RIVER AT STILLWATER NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01331095	1	1932-05-20		Yes	xxx	USGS		3920				Good				UNSP	1	Imported Channel 1	UNSP	other		3920				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	2	1932-05-20		Yes	xxx	USGS		4200				Good				UNSP	1	Imported Channel 1	UNSP	other		4200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	3	1932-05-31		Yes	xxx	USGS		3540				Good				UNSP	1	Imported Channel 1	UNSP	other		3540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	4	1932-09-13		Yes	xxx	USGS		3380				Poor				UNSP	1	Imported Channel 1	UNSP	other		3380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	5	1932-10-14		Yes	xxx	USGS		7130				Poor				UNSP	1	Imported Channel 1	CRAN	unspe	unkno	7130	609	4230	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	6	1932-10-14		Yes	xxx	USGS		7080				Poor				UNSP	1	Imported Channel 1	CRAN	unspe	unkno	7080	608	4170	1.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	7	1966-08-23		Yes	bxd	USGS	28.24	6190				Good			Clear	UNSP	1	Imported Channel 1	CRAN	unspe	unkno	6190	614	4190	1.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	8	1967-07-12		Yes	xxx	USGS	28.74	3050				Unspecified				UNSP	1	Imported Channel 1	CWAY	unspe	unkno	3050	608	3730	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01331095	9	1977-03-15		Yes	djs	USGS	89.93	42600				Good			Clear	UNSP	1	Imported Channel 1	CRAN	unspe	unkno	42600	6.60	6910	6.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
