#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01335755 HUDSON RIVER AT LOCK 1 NEAR WATERFORD NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01335755	1	1999-05-13 15:20:00	EST	Yes	X	USGS	29.81	4250				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	4250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	2	2000-08-22		Yes	TPS/KM	USGS	30.81	8160				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	8160	1100	13700	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	3	2000-08-22 12:00:00	EST	Yes	JAR/JS	USGS	30.73	568				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	568	50.0	835	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	4	2000-08-22 13:30:00	EST	Yes	JAR/JS	USGS	30.75	1180				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	1180	50.0	835	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	5	2000-08-23 09:56:00	EST	Yes	TPS/KM	USGS	30.62	7960				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	7960	1110	13500	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	6	2000-08-23 10:02:00	EST	Yes	JAR/JS	USGS	30.56	1700				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	1700	50.0	825	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	7	2000-08-23 11:52:00	EST	Yes	JAR/JS	USGS	30.61	2120				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	2120	50.0	823	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	8	2000-08-30 10:54:00	EST	Yes	TPS/JAR	USGS	30.25	2740				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	2740	50.0	804	3.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	9	2000-08-30 13:26:00	EST	Yes	TPS/JAR	USGS	29.75	3200				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	3200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	10	2000-08-30 14:27:00	EST	Yes	TPS/JAR	USGS	29.51	4040				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	4040				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	11	2001-05-31 15:07:00	EST	Yes	TPS/JG	USGS	30.65	11400				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	11400	1090	12900	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	12	2001-08-16 13:30:00	EST	Yes	TPS/KM	USGS	29.88	4720				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	4720	1080	10700	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	13	2001-08-16 14:33:00	EST	Yes	TPS/KM	USGS	29.81	3920				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	3920	1080	10600	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	14	2003-05-01 10:48:00	EST	Yes	TPS	USGS		8480				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	8480	50.0	743	11.4	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	15	2003-05-01 12:26:00	EST	Yes	TPS	USGS		3400				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	3400	50.0	801	4.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	16	2004-06-03 13:52:30	EST	Yes	TPS/AMO	USGS		15400				Unspecified		0.80	Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	15400	1120	13400	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	17	2005-04-05 13:58:00	EST	Yes	TPS/AMO	USGS	29.33	33300				Unspecified		0.50	Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	33300	861	12600	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	18	2005-05-04		Yes	TPS	USGS	30.49	9350				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	9350	50.0	764	12.2	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	19	2005-06-30		Yes	TPS/AMG	USGS		11500				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	11500	1110	13000	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	20	2006-06-14 12:39:00	EST	Yes	TPS/MEH	USGS		16400				Unspecified		0.80	Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	16400	1140	13900	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	21	2006-08-11 10:15:00	EST	Yes	TPS	USGS		9940				Unspecified		0.20	Unspecifed	UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	9940	740	8070	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01335755	22	2007-04-17 13:00:00	EST	Yes	TPS/EAN	USGS	32.18	36200				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	36200	863	15200	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
