#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:25 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05543500 ILLINOIS RIVER AT MARSEILLES, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05543500	29	1933-05-13		No																													
USGS	05543500	58	1943-05-20		Yes	o	USGS	21.40	56500		0.00		FAIR	-0.01	4.00		MEAS	1	Unspecified	UNSP			56500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	67	1944-04-23		Yes	c	USGS	21.03	57400		0.00		UNSP	-0.05	2.00		MEAS	1	Unspecified	UNSP			57400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	102	1950-04-29		Yes	m	USGS	21.92	59300		0.00		GOOD	-0.73	4.66		MEAS	1	Unspecified	UNSP			59300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	118	1954-10-12		Yes	b	USGS	21.11	54600		0.00		GOOD	-0.21	3.50		MEAS	1	Unspecified	UNSP			54600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	129	1957-07-15		Yes	g	USGS	22.92	71600		0.00		GOOD	-0.33	2.50		MEAS	1	Unspecified	UNSP			71600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	156	1961-10-25		Yes	/	USGS	2.02	6080	 5.0	0.00	2.50	GOOD	0.00	1.40		UNSP	1	Unspecified	UNSP			6080				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	157	1961-12-04		Yes	/	USGS	2.50	7950	 5.0	0.00	0.00	GOOD	0.02	1.90		UNSP	1	Unspecified	UNSP			7950				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05543500	158	1962-03-27		Yes	/	USGS	6.63	30200	 5.0	0.00	1.30	GOOD	-0.02	1.80		UNSP	1	Unspecified	UNSP			30200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
