#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:27 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05558300 ILLINOIS RIVER AT HENRY, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05558300	1	1981-11-10		Yes	n	USGS	14.50	6520	 1.0	-0.360	-4.50	FAIR				UNSP	1	Unspecified	UNSP			6520				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	2	1982-02-26		Yes	N	USGS	25.89	46600	 1.0	0.00	-0.200	GOOD	-0.06	3.30		UNSP	1	Unspecified	UNSP			46600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	3	1982-03-16		Yes	N	USGS	28.33	70200	 1.0	0.00	-4.00	GOOD	0.14	2.20		UNSP	1	Unspecified	UNSP			70200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	4	1982-03-17		Yes	N	USGS	28.80	74100	 1.0	0.00	1.90	GOOD	-0.08	3.30		UNSP	1	Unspecified	UNSP			74100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	5	1982-04-29		Yes	N	USGS	22.02	25100	 1.0	0.00	-2.30	GOOD	-0.08	3.30		UNSP	1	Unspecified	UNSP			25100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	6	1982-05-06		Yes	N	USGS	18.84	6900	 1.0	0.00		FAIR	0.04	2.20		UNSP	1	Unspecified	UNSP			6900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	7	1982-05-14		Yes	N	USGS	15.65	9800	 1.0	0.00	3.60	GOOD	-0.10	3.20		UNSP	1	Unspecified	UNSP			9800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	8	1982-09-08		Yes	N	USGS	14.39	7510	 1.0	0.00	3.60	FAIR	0.06	2.20		UNSP	1	Unspecified	UNSP			7510				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	9	1982-11-03		Yes	N	USGS	15.51	16000	 1.0	3.00	5.00	FAIR	-0.05	1.90		UNSP	1	Unspecified	UNSP			16000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	10	1982-12-07		Yes	N	USGS	30.32	100700	 1.0	0.00	2.20	GOOD	0.11	2.50		UNSP	1	Unspecified	UNSP			100700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05558300	11	1983-03-01		Yes	GFF/MM	USGS	15.53	14300	 1.0	0.00	0.00	GOOD	-0.02	1.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		14300	818	9960	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
