#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05568500 ILLINOIS RIVER AT KINGSTON MINES, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05568500	294	1965-03-11		Yes	/	USGS	10.57	20300	10.0	0.00	-2.40	FAIR	-0.06	1.30		UNSP	1	Unspecified	UNSP			20300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	295	1965-04-09		Yes	/	USGS	15.32	39500	10.0	0.00	2.20	GOOD	0.06	2.70		UNSP	1	Unspecified	UNSP			39500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	296	1965-05-12		Yes	/	USGS	15.39	32900	10.0	0.00	4.20	FAIR	-0.02	1.80		UNSP	1	Unspecified	UNSP			32900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	297	1965-06-09		Yes	/	USGS	6.12	11200	10.0	0.00	4.30	GOOD	0.26	1.20		UNSP	1	Unspecified	UNSP			11200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	298	1965-07-07		Yes	/	USGS	3.37	6120	10.0	0.00	7.50	FAIR	0.08	1.50		UNSP	1	Unspecified	UNSP			6120				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	299	1965-08-09		Yes	/	USGS	3.30	5950	10.0	0.00	4.30	FAIR	0.00	2.00		UNSP	1	Unspecified	UNSP			5950				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	300	1965-09-10		Yes	/	USGS	6.15	12500	10.0	0.00	6.10	FAIR	0.00	1.80		UNSP	1	Unspecified	UNSP			12500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	301	1965-10-11		Yes	/	USGS	6.70	11100	10.0	0.00	-4.90	FAIR	-0.04	1.90		UNSP	1	Unspecified	UNSP			11100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05568500	302	1965-11-18		Yes	/	USGS	4.76	8480	10.0	0.00	8.20	GOOD	0.01	1.50		UNSP	1	Unspecified	UNSP			8480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
