#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:34 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05586100 ILLINOIS RIVER AT VALLEY CITY, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05586100	8	1981-03-25 09:45:00	CST	Yes	TJM/DWG	USGS	3.13	10900		0.00		GOOD			CLER	MEAS	1	Unspecified	CRAN	QUNSP		10900	672	7220	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	9	1981-04-16 14:00:00	CST	Yes	WAG/TAL	USGS	10.40	38000		0.00		FAIR	0.06	3.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		38000	750	12200	3.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	10	1983-04-05 11:30:00	CST	Yes	DPM/AWN	USGS	19.96	64400		0.00		GOOD	0.28	3.50		MEAS	1	Unspecified	CRAN	QUNSP		64400	1480	22600	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	11	1983-04-13 11:00:00	CST	Yes	DPM/MLH	USGS	25.02	90000		0.00		FAIR	0.03	3.20	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		90000	1500	29700	3.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	12	1988-10-19 14:20:00	CST	Yes	ADR/PDH	USGS	2.02	7500		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		7500	698	6980	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	13	1988-11-09 11:25:00	CST	Yes	ALB/ADR	USGS	2.05	6420		0.00		GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	BOAT	QUNSP		6420	560	8200	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	14	1988-12-20 10:30:00	CST	Yes	ALB/ADR	USGS	2.51	8990		0.00		GOOD	-0.06	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		8990	550	8220	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	15	1989-01-24 10:05:00	CST	Yes	ALB/ADR	USGS	2.42	8640		0.00		GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	BOAT	QUNSP		8640	550	7940	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05586100	16	1989-03-08 15:05:00	CST	Yes	EEZ/ALB	USGS	3.69	12900		0.00		EXCL	0.04	1.20	CLER	MEAS	1	Unspecified	BOAT	QUNSP		12900	550	8690	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
