#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:34:37 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07194800 Illinois River at Savoy, AR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07194800	1A	1957-08-08		Yes	msh	USGS		14.3				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.3			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	2A	1958-06-12		Yes	msh	USGS		30.3				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	30.3			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	3A	1958-09-03		Yes	msh	USGS		29.0				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	29.0			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	4A	1958-10-24		Yes	msh	USGS		28.6				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.6			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	5A	1958-11-10		Yes	msh	USGS		14.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.4			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	6A	1959-08-10		Yes	msh	USGS		14.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.4			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	7A	1959-09-16		Yes	msh	USGS		6.06				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.06			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	8A	1960-08-08		Yes	msh	USGS		44.5				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	44.5			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	9A	1960-09-12		Yes	msh	USGS		12.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.4			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	10A	1961-08-09		Yes	msh	USGS		14.3				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.3			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	11A	1961-09-27		Yes	msh	USGS		32.3				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	32.3			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	12A	1962-05-23		Yes	msh	USGS		24.5				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	24.5			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	13A	1962-06-21		Yes	msh	USGS		21.1				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.1			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	14A	1962-07-18		Yes	msh	USGS		14.1				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.1			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	15A	1962-08-15		Yes	msh	USGS		20.8				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.8			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	16A	1963-04-17		Yes	msh	USGS		16.7				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.7			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	17A	1963-07-30		Yes	msh	USGS		8.41				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.41			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	1X	1968-09-11		Yes	Reid	USGS		21.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	21.0	70.0	57.6	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	1B	1974-07-10		Yes	msh	USGS		28.3				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.3			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	2B	1974-08-26		Yes	jcc	USGS		15.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.4			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	3B	1974-12-04		Yes	jcc	USGS		70.7				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	70.7			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	4B	1975-04-17		Yes	jcc	USGS		108				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	108			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	5B	1975-09-24		Yes	jcc	USGS		77.0				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	77.0			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	6B	1975-12-18		Yes	jcc	USGS		95.5				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	95.5			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	7B	1976-02-03		Yes	jcc	USGS		35.6				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	35.6			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	8B	1976-06-02		Yes	jcc	USGS		149				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	149			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	9B	1976-08-31		Yes	jcc	USGS		9.15				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.15			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	10B	1976-12-14		Yes	jcc	USGS		17.7				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	17.7			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	11B	1977-03-09		Yes	jcc	USGS		28.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.4			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	12B	1977-06-01		Yes	jcc	USGS		8.47				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.47			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	13B	1977-08-25		Yes	jcc	USGS		6.42				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.42			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	14B	1977-11-17		Yes	jcc	USGS		218				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	218			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	15B	1978-02-22		Yes	jcc	USGS		117				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	117			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	16B	1978-05-04		Yes	jcc	USGS		768				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	768			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	17B	1978-07-26		Yes	jcc	USGS		19.4				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.4			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	18B	1978-10-18		Yes	jcc	USGS		7.98				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.98			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	19B	1979-02-10		Yes	jcc	USGS		21.6				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.6			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07194800	20B	1979-04-06		Yes	jcc	USGS		175				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	175			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
