#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:35:16 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02024752 JAMES RIVER AT BLUE RIDGE PKWY NR BIG ISLAND, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02024752	1	2005-06-08 12:00:00	EDT	Yes	JKL/EDP	USGS	4.62	1950	 1.0		0.520	GOOD	-0.04	1.75		MEAS	1	Unspecified	BRUS	QUNSP		1950	347	2440	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	2	2005-12-01 10:45:00	EST	Yes	JKL/REL	USGS	8.78	14500	 1.0		-3.00	GOOD	-0.07	1.00	CLER	MEAS	1	Unspecified	BRUS	QUNSP		14500	368	4010	3.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	3	2006-02-03 10:30:00	EST	Yes	MLH/DAN	USGS	5.26	3600	 1.0		2.56	GOOD	0.00	1.75	CLER	MEAS	1	Unspecified	BRUS	QUNSP		3600	358	2810	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	4	2006-03-02 12:50:00	EST	Yes	DAN/JKL	USGS	4.57	1620	 1.0	-0.100	0.00	GOOD	-0.02	1.17		MEAS	1	Unspecified	BRUS	QUNSP		1620	343	2410	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	5	2006-05-10 10:30:00	EDT	Yes	DAN/MLH	USGS	4.68	1990	 1.0	0.00	-4.80	GOOD	0.00	1.67		MEAS	1	Unspecified	BRUS	QUNSP		1990	358	2540	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	6	2006-07-10 12:20:00	EDT	Yes	MLH/REL	USGS	4.69	2200	 1.0		3.80	GOOD	0.04	1.50	CLER	MEAS	1	Unspecified	BRUS	QUNSP		2200	358	2520	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	7	2006-08-15 10:15:00	EDT	Yes	REL/MLH	USGS	4.16	967.0	 1.0		-1.90	GOOD	-0.06	1.80	SUBM	MEAS	1	Unspecified	BRUS	QUNSP		967.0	351	2310	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	8	2006-08-29 10:30:00	EDT	Yes	JKL/REL	USGS	4.08	865.0	 1.0	0.00	3.70	GOOD	-0.01	1.58	CLER	MEAS	1	Unspecified	BRUS	QUNSP		865.0	355	2310	0.374	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02024752	9	2006-10-04 10:10:00	EDT	Yes	BWD/REL	USGS	4.26	1030	 1.0	-0.080	0.500	GOOD	0.00	2.10	SUBM	MEAS	1	Unspecified	BRUS	QUNSP		1030	355	2360	0.440	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
