#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:35:11 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02037000 JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02037000	1	1934-11-22 11:50:00	EST	Yes	CAS/G	USGS	5.51	708.0				UNSP	0.00	0.70		MEAS	1	Unspecified	BRUS	QUNSP		708.0	60.0	383	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	2	1934-12-01 15:05:00	EST	Yes	OHM/CAS	USGS	5.78	831.0				UNSP	-0.08	0.30		MEAS	1	Unspecified	BRUS	QUNSP		831.0	60.0	406	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	3	1934-12-02 16:35:00	EST	Yes	JJD/S	USGS	8.64	1370				UNSP	0.11	0.60		MEAS	1	Unspecified	BRUS	QUNSP		1370	64.0	592	2.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	4	1934-12-04 13:55:00	EST	Yes	JJD	USGS	5.13	750.0				UNSP	-0.06	0.80		MEAS	1	Unspecified	BRUS	QUNSP		750.0	59.5	370	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	5	1934-12-05 12:15:00	EST	Yes	CAS/G	USGS	5.40	848.0				UNSP	-0.01	0.70		MEAS	1	Unspecified	BRUS	QUNSP		848.0	60.0	402	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	6	1934-12-06 14:55:00	EST	Yes	CAS/G	USGS	5.48	816.0				UNSP	0.02	0.50		MEAS	1	Unspecified	BRUS	QUNSP		816.0	60.0	383	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	7	1935-03-14 11:30:00	EST	Yes	S/H	USGS	5.78	888.0				UNSP	0.01	0.50		MEAS	1	Unspecified	BRUS	QUNSP		888.0	62.0	406	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	8	1935-07-12 12:35:00	EST	Yes	ADA/G	USGS	5.20	774.0				UNSP	0.00	0.40		MEAS	1	Unspecified	BRUS	QUNSP		774.0	59.0	375	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	9	1935-09-18 17:40:00	EST	Yes	ADA/CAS	USGS	5.46	818.0				UNSP	0.00	0.30		MEAS	1	Unspecified	BRUS	QUNSP		818.0	59.5	398	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	10	1935-10-23 11:10:00	EST	Yes	CAS/G	USGS	5.25	692.0				UNSP	0.00	0.70		MEAS	1	Unspecified	BRUS	QUNSP		692.0	60.0	381	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	11	1935-12-19 10:55:00	EST	Yes	CAS/G	USGS	5.61	814.0				UNSP	0.00	0.60		MEAS	1	Unspecified	BRUS	QUNSP		814.0	62.0	410	1.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	223	1961-10-23		Yes	DSW/PTY	USGS	12.68	2020	 2.0	0.00	-4.70	UNSP	-0.20	0.67		MEAS	1	Unspecified	CRAN	QUNSP		2020	123	1240	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	243	1971-05-11		Yes	MLB/PTY	USGS	8.02	1010	 3.0	0.00	11.7	GOOD	0.01	0.42	SUBM	MEAS	1	Unspecified	BRUS	QUNSP		1010	65.0	549	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	297	1982-06-15		Yes	MLB/RCL	USGS	12.04	1770	 7.0	0.00	2.30	GOOD	0.02	0.67	SUBM	MEAS	1	Unspecified	UNSP			1770				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	296	1982-06-15		Yes	MLB/RCL	USGS	11.98	1740	 7.0	0.00	1.50	UNSP	0.03	0.92	SUBM	MEAS	1	Unspecified	UNSP			1740				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	298	1982-06-16		Yes	RWB/DWH	USGS	11.24	1400	 7.0	0.00	-7.40	GOOD	-0.09	0.58	SUBM	MEAS	1	Unspecified	UNSP			1400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02037000	311	1984-05-10		Yes	RCL/DWH	USGS	8.86	999.0	 8.0	0.00	-4.10	GOOD	0.01	0.67	SUBM	MEAS	1	Unspecified	UNSP			999.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
