#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:35:23 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06470000 JAMES RIVER AT JAMESTOWN, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06470000	1	1928-03-29		Yes	J. & S.	USGS	7.20	69.0		0.00		UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			69.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	2	1928-05-15		Yes	REK	USGS	6.29	9.10		0.00		UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			9.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	3	1928-06-12		Yes	W. & J.	USGS	6.35	8.71		0.00		UNSP	0.00	0.30		UNSP	1	Unspecified	UNSP			8.71				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	4	1928-06-12		Yes	W. & J.	USGS	6.38	9.71		0.00		UNSP	0.00	0.20		UNSP	1	Unspecified	UNSP			9.71				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	5	1928-06-25		Yes	H. & W.	USGS	6.78	25.4		0.00		UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			25.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	6	1928-07-03		Yes	W. & L.	USGS		346.0		0.00		UNSP	0.00	0.80		UNSP	1	Unspecified	UNSP			346.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	7	1928-07-06		Yes	W. & V.	USGS		686.0		0.00		UNSP	0.00	0.90		UNSP	1	Unspecified	UNSP			686.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	8	1928-10-14		Yes	CSH	USGS	6.50	10.2		0.00		UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			10.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	9	1929-04-27		Yes	J. & K.	USGS	6.93	37.8		0.00		UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			37.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	10	1929-08-21		Yes	REK	USGS	6.28	1.40		0.00		UNSP				UNSP	1	Unspecified	UNSP			1.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	11	1929-09-18		Yes	K. & J.	USGS	6.15	0.510		0.00		UNSP	0.00	0.30		UNSP	1	Unspecified	UNSP			0.510				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	12	1929-10-26		Yes	CSH	USGS	6.11	1.30		0.00		UNSP	0.00	0.20		UNSP	1	Unspecified	UNSP			1.30				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470000	13	1930-02-11		Yes	CSH	USGS	6.19	1.30		0.00		UNSP	0.00	0.20		UNSP	1	Unspecified	UNSP			1.30				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
