#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:35:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06470878 JAMES RIVER AT ND-SD STATE LINE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06470878	9	1984-04-02		Yes	TAG	USGS	93.04	1680		0.00		GOOD	0.00	0.83		MEAS	1	Unspecified	CRAN	QUNSP		1680	191	1420	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	10	1984-04-04		Yes	TAG	USGS	92.88	2050				GOOD	0.00	1.00	SICE	MEAS	1	Unspecified	CRAN	QUNSP		2050	191	1460	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	11	1984-04-09		Yes	TAG	USGS	92.20	1020		0.00		FAIR	-0.01	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1020	193	1280	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	12	1984-04-11		Yes	TAG	USGS	91.90	899.0		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		899.0	193	1240	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	13	1984-04-16		Yes	TAG/GW	USGS	91.20	686.0		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		686.0	193	1090	0.630	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	14	1988-08-23 09:45:00	CDT	Yes	TAG	USGS	87.10	0.000		0.00		UNSP			CLER	MEAS	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	15	2002-06-26 13:30:00	CDT	Yes	SAH	USGS	89.30	244.0		0.00		GOOD	0.03	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		244.0	190	887	0.275	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	16	2004-05-27 14:45:00	CDT	Yes	SAH/BRH	USGS	90.08	586.0	 1.0	0.00	-3.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	586.0	168	802	0.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	17	2004-06-01 15:10:00	CDT	Yes	SAH/BRH	USGS	91.04	900.0	 1.0	0.00	0.300	UNSP	0.00	0.20	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	900.0	172	965	0.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06470878	18	2004-07-12 15:00:00	CDT	Yes	LAC	USGS	90.30	593.0	 1.0	-0.040	4.10	FAIR	-0.03	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		593.0	190	1110	0.534	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
