#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:35:32 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06473000 JAMES R AT ASHTON,SD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06473000	1	1945-09-29		Yes	Bea/Tho	USGS	1.56	0.150		0.00		UNSP				MEAS	1	Unspecified	UNSP			0.150				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	2	1945-11-15		Yes	Him	USGS	1.82	3.11		0.00		GOOD	-0.01	1.75		MEAS	1	Unspecified	UNSP			3.11				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	3	1946-01-29		Yes	Him	USGS	2.06	4.48		0.00		UNSP	0.05	1.25		MEAS	1	Unspecified	UNSP			4.48				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	4	1946-02-19		Yes	Him	USGS	2.87	3.01		0.00		POOR	0.01	1.00		MEAS	1	Unspecified	UNSP			3.01				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	5	1946-03-05		Yes	Him	USGS	3.68	1.00		0.00		UNSP				UNSP	1	Unspecified	UNSP			1.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	6	1946-03-26		Yes	Him	USGS	6.96	480.0		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	UNSP			480.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	7	1946-04-18		Yes	Him	USGS	3.21	104.0		0.00		GOOD	0.02	2.00		MEAS	1	Unspecified	UNSP			104.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	8	1946-05-09		Yes	Him	USGS	2.76	39.0		0.00		GOOD	0.00	1.75		MEAS	1	Unspecified	UNSP			39.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06473000	9	1946-05-28		Yes	Him	USGS	3.05	30.0		0.00		FAIR	0.00	2.00		MEAS	1	Unspecified	UNSP			30.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
