#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:36:27 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05515000 KANKAKEE RIVER NEAR NORTH LIBERTY, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05515000	342	1978-10-03		Yes	X	USGS		83.1				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		83.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	343	1978-11-07		Yes	X	USGS		94.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		94.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	350	1979-06-27		Yes	X	USGS		109				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		109				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	351	1979-07-31		Yes	X	USGS		111				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		111				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	352	1979-09-13		Yes	X	USGS		90.5				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		90.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	353	1979-10-22		Yes	X	USGS		101				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		101				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	359	1980-08-06		Yes	WFH	USGS		68.0				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		68.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	361	1980-11-05		Yes	X	USGS		114				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		114				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	373	1981-09-01		Yes	X	USGS		158				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		158				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	378	1982-03-16		Yes	JHI	USGS	8.75	788				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		788				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	379	1982-03-17		Yes	JHI	USGS	9.00	824				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		824				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	380	1982-03-18		Yes	DA	USGS	8.66	720				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	381	1982-03-20		Yes	DA	USGS	8.68	777				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		777				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	382	1982-03-22		Yes	WFH	USGS	8.00	480				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	383	1982-03-23		Yes	WFH	USGS	7.54	425				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		425				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	384	1982-03-24		Yes	WFH	USGS	7.12	448				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		448				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	385	1982-03-25		Yes	WFH	USGS	6.75	449				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		449				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	388	1982-06-23		Yes	X	USGS		148				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		148				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	389	1982-08-04		Yes	X	USGS		137				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		137				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	390	1982-09-14		Yes	X	USGS		97.8				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		97.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	391	1982-10-26		Yes	X	USGS		103				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		103				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	397	1983-07-13		Yes	X	USGS		121				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		121				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	398	1983-08-16		Yes	X	USGS		78.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		78.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	399	1983-10-03		Yes	X	USGS		102				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		102				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05515000	400	1983-11-22		Yes	X	USGS		107				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		107				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
