#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:36:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06891080 KANSAS R AT LAWRENCE, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06891080	1	1987-09-28 09:45:00	CDT	Yes	JPM/MDC	USGS	10.61	5690				FAIR	-0.01	1.83	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5690	689	5590	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06891080	2	1988-07-27 19:10:00	CDT	Yes	MDC	USGS	12.24	2940				FAIR	0.07	1.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2940	710	6400	0.460	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06891080	3	1989-06-03 09:35:00	CDT	Yes	ESW/MDC	USGS	12.64	950.0				UNSP	-0.01	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		950.0	248	398	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06891080	4	2012-11-30 12:10:00	CST	Yes	Cd	USGS	-12.97	700	0001		-2.9	GOOD	0.02	2.50	CLER	MEAS	1	1	WADE	QSCMM	VADV	522	242	419	1.24	SOFT	SAND	UNEV	STDY	EVEN	UNFM	DNST	14200.0
USGS	06891080	4	2012-11-30 12:10:00	CST	Yes	Cd	USGS	-12.97	700	0001		-2.9	GOOD	0.02	2.50	CLER	MEAS	2	2	WADE	QSCMM	VADV	178	166	232	0.77	SOFT	SAND	UNEV	STDY	EVEN	UNFM	DNST	14200.0
USGS	06891080	5	2012-12-27 10:50:30	CST	Yes	AJP/BLL	USGS	-13.33	447	0001		4.2	GOOD			SICE	OTHR	1	01	WADE	QSCMM	VADV	470	392	563	0.84	FIRM	SAND	UNEV	STDY	EVEN	STND	DNST	14000.0
USGS	06891080	6	2013-01-28 10:19:30	CST	Yes	AP/AK/CP	USGS	-12.76	900	0001		-1.9	FAIR			CLER	MEAS	1	1	BRDS	QADCP	VADCP	900	865	7730	0.12	UNSP	GRVL	UNSP	UNSP	UNEV	UNSP	ATGA	
USGS	06891080	7	2013-03-13 15:05:00	CDT	Yes	AJP/CCP	USGS	-12.95	801	0001		8.4	POOR			CLER	MEAS	1	01	MBOT	QADCP	VADCP	801	214	1230	0.65	FIRM	SAND	UNEV	PULS	UNEV	STND	ATGA	0.00
USGS	06891080	8	2013-04-10 09:46:47	CDT	Yes	AJP/ACK	USGS	-11.44	2520	0001		1.2	GOOD	-0.09	1.15	CLER	MEAS	1	1	BRDS	QADCP	VADCP	2520	852	7450	0.34	FIRM	SAND	UNEV	STDY	UNEV	STND	UPST	1500.00
