#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:38:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05592000 KASKASKIA RIVER AT SHELBYVILLE, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05592000	440	1970-03-25		Yes	/	USGS	3.31	535.0	13.0	0.200	1.30	GOOD	0.00	0.90		UNSP	1	Unspecified	UNSP			535.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	441	1970-04-21		Yes	/	USGS	10.10	3000	13.0	0.00	-4.20	GOOD	0.03	1.10		UNSP	1	Unspecified	UNSP			3000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	442	1970-05-27		Yes	/	USGS	4.10	705.0	13.0	0.00	0.700	GOOD	-0.63	0.80		UNSP	1	Unspecified	UNSP			705.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	443	1970-06-22		Yes	/	USGS	8.98	2670	13.0	0.00	3.10	GOOD	-0.02	0.90		UNSP	1	Unspecified	UNSP			2670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	444	1970-07-24		Yes	/	USGS	1.57	130.0	13.0	0.070	1.60	GOOD	0.00	0.80		UNSP	1	Unspecified	UNSP			130.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	10	1970-08-05		Yes	/	USGS	0.52	5.45	13.0	0.00		GOOD	-0.01	0.50		UNSP	1	Unspecified	UNSP			5.45				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	445	1970-08-11		Yes	/	USGS	0.31	3.38	13.0	0.070	5.60	FAIR	0.00	0.50		UNSP	1	Unspecified	UNSP			3.38				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	11	1970-08-19		Yes	/	USGS	0.34	4.16	13.0	0.060	4.00	GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			4.16				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05592000	12	1970-09-08		Yes	/	USGS	0.35	2.80	13.0	0.020	0.00	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			2.80				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
