#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:38:09 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05595000 KASKASKIA RIVER AT NEW ATHENS, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05595000	470	2009-03-17 12:56:00	CST	Yes	ADR/PJD	USGS	74.93	3620	11.0			FAIR	-0.03	0.50	CLER	UNSP	1		BRDS	QADCP	VADCP	3620	294	4990	0.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05595000	471	2009-03-23 14:19:30	CST	Yes	PJD/SMM	USGS	68.88	1580				GOOD	0.00	0.20	UNSP	MEAS	1		MBOT	QADCP	VADCP	1580	278	3480	0.45	UNSP	UNSP	UNSP	STDY	UNSP	UNSP	UNSP	
USGS	05595000	472	2009-04-28 12:18:30	CST	Yes	PJD/NAS	USGS	73.54	13100				GOOD	0.06	0.30	SUBM	MEAS	1		MBOT	QADCP	VADCP	13100	257	4360	2.92	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	473	2009-05-07 11:32:00	CST	Yes	PJD/TAL	USGS	79.65	8560				GOOD	-0.02	0.30	SUBM	MEAS	1		MBOT	QADCP	VADCP	8560	347	6840	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05595000	474	2009-07-10 10:51:30	CST	Yes	PJD/TAL	USGS	69.26	4090				GOOD	0.01	0.30		MEAS	1		MBOT	QADCP	VADCP	4090	288	3690	1.11	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	475	2009-08-03 13:56:00	CST	Yes	PJD/GEG	USGS	69.55	5410				GOOD	-0.01	0.20		MEAS	1		MBOT	QADCP	VADCP	5410	286	3650	1.42	FIRM	SILT	EVEN	UNSP	EVEN	UNSP	DNST	50
USGS	05595000	476	2009-09-01 07:44:00	CST	Yes	PJD/GEG	USGS	68.98	2230				GOOD	-0.01	0.13	CLER	MEAS	1		MBOT	QADCP	VADCP	2230	304	3490	0.64	FIRM	SILT	EVEN	UNSP	UNSP	UNSP	UNSP	
USGS	05595000	477	2009-10-13 15:23:00	CST	Yes	PJD/GEG	USGS	69.71	6170				GOOD	-0.01	0.17	CLER	MEAS																	
USGS	05595000	478	2009-10-27 09:18:00	CST	Yes	PJD?ADR	USGS	73.08	10500				GOOD	0.00	0.17	UNSP	MEAS	1		MBOT	QADCP	VADCP	10500	408	5250	2.00	FIRM	SAND	EVEN	UNSP	EVEN	UNSP	DNST	150
USGS	05595000	479	2009-11-04 11:19:00	CST	Yes	PJD/TAL	USGS	82.52	19600				GOOD	0.00	0.23	CLER	MEAS	1		MBOT	QADCP	VADCP	19600	417	8270	2.37	FIRM	SILT	EVEN	UNSP	UNSP	UNSP	ATGA	0.00
USGS	05595000	480	2009-12-07 16:33:00	CST	Yes	PJD	USGS	69.75	5480				GOOD	-0.04	0.30	CLER	MEAS	1		MBOT	QADCP	VADCP	5480	256	3430	1.60	FIRM	GRVL	EVEN	UNSP	UNSP	UNSP	ATGA	0.00
USGS	05595000	481	2010-03-31 14:46:00	CST	Yes	PJD/TAL	USGS	80.24	4290				FAIR	-0.02	0.38	SUBM	MEAS	1		MBOT	QADCP	VADCP	4290	392	7420	0.58	FIRM	SILT	EVEN	STDY	UNEV	UNSP	DNST	600
USGS	05595000	482	2010-04-22 16:18:00	CST	Yes	TAL/PJD	USGS	68.64	1100				GOOD	0.00	0.57	CLER	UNSP	1		BRDS	QADCP	VADCP	1100	247	3190	0.34	FIRM	SILT	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	05595000	483	2010-04-23 10:24:30	CST	Yes	TAL/JCM	USGS	68.62	1190				GOOD	0.01	0.75	CLER	MEAS	1		BRDS	QADCP	VADCP	1190	245	3180	0.37	FIRM	SILT	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	05595000	484	2010-06-30 10:43:00	CST	Yes	TAL/JCM	USGS	81.82	7470				GOOD	0.00	0.30	CLER	UNSP	1		BRDS	QADCP	VADCP	7470	288	62900	1.19	FIRM	SILT	EVEN	STDY	UNSP	UNSP	ATGA	0.00
USGS	05595000	485	2010-07-21 07:43:30	CST	Yes	PJD/SMM	USGS	75.94	5340				GOOD	-0.02	0.25	UNSP	UNSP	1		MBOT	QADCP	VADCP	5340	362	5790	0.92	UNSP	UNSP	UNSP	STDY	EVEN	UNSP	DNST	200
USGS	05595000	486	2010-09-14 11:15:30	CST	Yes	TAL/JCM	USGS	69.67	5810				GOOD	-0.01	0.25	CLER	UNSP	1		MBOT	QADCP	VADCP	5810	308	3740	1.55	FIRM	SILT	EVEN	STDY	UNSP	UNSP	DNST	50
USGS	05595000	487	2010-09-21 11:32:30	CST	Yes	TAL/JCM	USGS	69.48	1240				GOOD	0.00	0.32	UNSP	UNSP	1		MBOT	QADCP	VADCP	1240	319	3710	0.33	FIRM	SAND	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	05595000	488	2010-10-14 13:08:00	CST	Yes	TAL/JCM	USGS	68.66	336				POOR	-0.02	0.40	UNSP	UNSP	1		MBOT	QADCP	VADCP	336	297	3580	0.10	FIRM	SILT	EVEN	UNSP	EVEN	UNSP	DNST	100.00
USGS	05595000	489	2010-11-09 14:04:30	CST	Yes	TAL/JCM	USGS	68.95	150				POOR	0.04	0.68	CLER	MEAS	1		BRDS	QADCP	VADCP	150	256	3280	0.04	FIRM	SILT	EVEN	UNSP	EVEN	UNSP	ATGA	0.00
USGS	05595000	490	2010-12-22 13:42:30	CST	Yes	TAL/SMM	USGS	69.33	4300				GOOD	0.01	0.38	CLER	UNSP	1		BRDS	QADCP	VADCP	4300	251	3370	1.28	FIRM	SILT	EVEN	STDY	EVEN	STND	ATGA	0.00
USGS	05595000	491	2011-03-10 13:34:00	CST	Yes	TAL/MTI	USGS	78.16	21600				POOR		0.93	CLER	UNSP	1		MBOT	QADCP	VADCP	21600	398	6950	3.11	FIRM	SILT	EVEN	STDY	EVEN	UNKN	DNST	100.00
USGS	05595000	492	2011-04-25 12:28:30	CST	Yes	REB NAS	USGS	82.57	19500				GOOD		0.15		UNSP	1		BRDS	QADCP	VADCP	19500	364	8020	2.44	FIRM	SILT	EVEN	UNSP	EVEN	UNSP	ATGA	0.00
USGS	05595000	493	2011-04-28 08:30:00	CST	Yes	REB NAS	USGS	89.04	40900				GOOD	0.03			MEAS	1		BRDS	QADCP	VADCP	40900	328	7930	4.68	FIRM	SILT	EVEN	UNSP	EVEN	UNSP	UPST	300.00
USGS	05595000	494	2011-04-30 10:41:00	CST	Yes	JCM/TAL	USGS	90.36	39600				FAIR	-0.01	0.63		MEAS	1		UNSP			39600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05595000	495	2011-05-06 09:39:00	CST	Yes	JCM/SMM	USGS	82.22	14000				GOOD	-0.04	0.30		MEAS	1		BRDS	QADCP	VADCP	14000	317	6560	2.14	FIRM	SILT	EVEN	UNSP	UNSP	UNSP	UPST	100.00
USGS	05595000	496	2011-06-28 11:40:00	CST	Yes	TAL/MTI	USGS	82.22	18800				FAIR	-0.02	0.33	UNSP	UNSP	1		BRDS	QADCP	VADCP	18800	308	6660	2.82	FIRM	SILT	EVEN	UNSP	EVEN	UNSP	ATGA	0.00
USGS	05595000	497	2011-07-19 12:45:30	CST	Yes	TAL/MTI	USGS	73.61	4400				FAIR	-0.02	0.42	UNSP	UNSP	1		BRDS	QADCP	VADCP	4400	285	4720	0.93	FIRM	SILT	EVEN	STDY	UNSP	UNFM	ATGA	0.00
USGS	05595000	498	2011-09-01 10:00:30	CST	Yes	TAL	USGS	68.92	2190				GOOD		0.35	CLER	UNSP	1		BRDS	QADCP	VADCP	2190	252	3510	0.44	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	499	2011-10-04 12:38:30	CST	Yes	TAL/JDK	USGS	68.70	320				FAIR		0.28	CLER	UNSP	1		BRDS	QADCP	VADCP	320	256	3510	0.09	FIRM	SILT	EVEN	STDY	EVEN	UNFM	UNSP	
USGS	05595000	500	2011-10-04 12:53:30	CST	Yes	TAL/JDK	USGS	68.70	268				FAIR		0.22	CLER	UNSP	1		BRDS	QADCP	VADCP	268	258	3520	0.09	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	501	2011-12-20 14:54:30	CST	Yes	TAL/JDK	USGS	70.02	6400				GOOD	0.00	0.32	CLER	UNSP	1		BRDS	QADCP	VADCP	6400	253	3820	1.68	FIRM	SILT	EVEN	STDY	EVEN	UNKN	ATGA	0.00
USGS	05595000	502	2012-03-06 10:24:54	CST	Yes	KKJ/TAL	USGS	68.94	1560	 1.0		33.3	POOR	0.01	0.40	CLER	MEAS	1	Main	MBOT	QADCP	VADCP	1560	318	3920	0.40	FIRM	SILT	EVEN	STDY	EVEN	UNKN	DNST	150.00
USGS	05595000	503	2012-03-20 08:42:59	CST	Yes	TAL/JDK	USGS	69.48	3880	 1.0		-12.6	GOOD	0.02	0.20	CLER	MEAS	1	MAIN	BRDS	QADCP	VADCP	3880	254	3640	1.06	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	504	2012-05-14 13:35:46	CST	Yes	TAL/JDK	USGS	68.66	1330	 1.0		-1.5	GOOD	-0.01	0.23	CLER	MEAS	1	Main	BRDS	QADCP	VADCP	1330	247	3500	0.38	FIRM	SILT	EVEN	STDY	UNEV	UNFM	ATGA	0.00
USGS	05595000	505	2012-06-04 09:37:43	CST	Yes	TAL/JDK	USGS	68.71	659	 1.0		-17.9	GOOD	0.00	0.20	CLER	MEAS	1	Main	BRDS	QADCP	VADCP	659	260	3520	0.19	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	506	2012-06-04 10:52:35	CST	Yes	TAL/JDK	USGS	68.71	665	 1.0		-26.4	GOOD	0.00	0.20	CLER	MEAS	1	Main	BRDS	QADCP	VADCP	665	260	3500	0.19	FIRM	SILT	EVEN	STDY	EVEN	UNFM	ATGA	0.00
USGS	05595000	507	2012-07-10 11:39:52	CST	Yes	TAL/JDK	USGS	68.71	151	 1.0		-57.0	POOR	0.00	0.80	CLER	MEAS	1	Main	BRDS	QADCP	VADCP	151	255	3540	0.04	FIRM	SILT	EVEN	PULS	UNEV	UNFM	ATGA	0.00
USGS	05595000	508	2012-09-13 13:09:24	CST	Yes	TAL/JDK	USGS	69.12	3320	 1.0		5.4	FAIR			CLER	MEAS	1	MAIN	MBOT	QADCP	VADCP	3320	299	3860	0.86	FIRM	SILT	EVEN	STDY	EVEN	UNFM	DNST	100.00
USGS	05595000	509	2012-09-13 14:32:52	CST	Yes	TAL/JDK	USGS	69.11	3390	 1.0		8.0	GOOD	0.02	0.50	CLER	MEAS	1	MAIN	MBOT	QADCP	VADCP	3390	300	3900	0.87	FIRM	SILT	EVEN	STDY	EVEN	UNFM	DNST	200.00
USGS	05595000	510	2012-10-09 11:32:00	CST	Yes	TAL/SMM	USGS	69.02	2770	 1.0		-3.5	POOR	0.01	0.80	CLER	MEAS	1	MAIN	MBOT	QADCP	VADCP	2770	309	3980	0.69	FIRM	SILT	EVEN	STDY	EVEN	STND	DNST	100.00
