#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:38:20 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03282290 KENTUCKY RIVER AT LOCK 11 NEAR COLLEGE HILL, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03282290	1	2002-07-30 10:39:00	EDT	Yes	REP/AKD	USGS	11.28	649				Good	-0.01	0.50	VegetationLight	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	649		3130	0.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	2	2002-10-07 17:44:00	EDT	Yes	REP/DSM	USGS	10.91	363				Good	0.00	0.40	VegetationLight	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	363	359	3180	0.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	3	2002-11-21 14:45:00	EST	Yes	REP/TSL	USGS	13.35	3410				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3410	275	3660	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	4	2003-02-13 14:39:00	EST	Yes	REP/TSL	USGS	13.56	3500				Good	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3500	199	3170	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	5	2003-02-19 15:49:00	EST	Yes	REP/BLM	USGS	32.54	51800				Good	-0.10	0.50	Submerged	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	51800	532	16600	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	6	2003-02-21 14:45:00	EST	Yes	REP/BLM	USGS	17.60	13300				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	13300	289	5430	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	7	2003-04-29 16:20:00	EDT	Yes	REP/TSL	USGS	13.38	3490				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3490	257	3080	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	8	2003-06-12 11:10:00	EDT	Yes	REP/AKD	USGS	15.91	8310				Fair	0.06	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	8310	242	4150	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	9	2003-10-16 13:22:00	EDT	Yes	REP/DLM	USGS	11.84	1260				Good	0.00	0.10	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1260	262	3010	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	10	2003-12-02 15:15:00	EST	Yes	REP/DWE	USGS	14.76	6120				Fair	-0.01	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	6120	306	4290	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	11	2004-01-05 17:12:00	EST	Yes	REP/TSL	USGS	20.81	24900				Good	-0.03	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	24900	289	7710	3.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	12	2004-01-06 11:05:00	EST	Yes	REP/TSL	USGS	20.40	23300				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	23300	226	6040	3.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	13	2004-05-12 10:34:00	EDT	Yes	TSL/REP	USGS	12.00	1490				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1490	334	2770	0.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	14	2004-06-02 18:11:00	EDT	Yes	REP/SBP	USGS	26.58	40500				Unspecified	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	40500	479	14900	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03282290	15	2004-06-03 14:16:00	EDT	Yes	REP/SBP	USGS	19.60	20400				Unspecified	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	20400	373	9380	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
